x,y,z,A,B,C,T,delta_ms
343.644,-383.085,-1226.18,1.57498,0.0285402,-0.703792,1749198210899,8
343.622,-383.029,-1226.16,1.57505,0.0287407,-0.704067,1749198210907,8
343.747,-383.083,-1226.25,1.57516,0.0287842,-0.704123,1749198210915,8
343.639,-383.1,-1226.2,1.57471,0.0286486,-0.703492,1749198210924,9
343.812,-383.213,-1226.38,1.57503,0.0286664,-0.703894,1749198210932,8
343.765,-383.193,-1226.45,1.57484,0.0287281,-0.703394,1749198210941,9
343.786,-383.208,-1226.54,1.57484,0.0286156,-0.703782,1749198210949,8
343.63,-383.36,-1226.45,1.5747,0.0286946,-0.704031,1749198210958,9
343.65,-383.363,-1226.4,1.57512,0.02834,-0.703388,1749198210970,12
343.645,-383.353,-1226.44,1.57481,0.0286636,-0.703743,1749198210981,11
343.816,-383.516,-1226.82,1.57442,0.0290926,-0.703796,1749198210991,10
343.717,-383.58,-1226.86,1.57482,0.028738,-0.703492,1749198210999,8
343.711,-383.317,-1226.5,1.57481,0.0284549,-0.703683,1749198211007,8
343.733,-383.257,-1226.57,1.57501,0.0286782,-0.703644,1749198211016,9
343.72,-383.28,-1226.58,1.57445,0.0289235,-0.703829,1749198211024,8
343.735,-383.169,-1226.37,1.57485,0.028473,-0.703647,1749198211032,8
343.711,-383.211,-1226.36,1.57473,0.0283663,-0.703623,1749198211040,8
343.629,-383.059,-1226.11,1.57467,0.0284327,-0.703805,1749198211049,9
343.675,-383.082,-1226.13,1.57483,0.028363,-0.703708,1749198211057,8
343.665,-383.094,-1226.15,1.57477,0.0283666,-0.703893,1749198211065,8
343.702,-383.117,-1226.15,1.57476,0.0283959,-0.703716,1749198211074,9
343.683,-383.127,-1226.2,1.57467,0.0285558,-0.703544,1749198211082,8
343.728,-383.155,-1226.22,1.57468,0.0285245,-0.70352,1749198211090,8
343.667,-382.983,-1226.11,1.57487,0.0283199,-0.703715,1749198211099,9
343.666,-382.965,-1226.14,1.5748,0.0282924,-0.703958,1749198211107,8
343.67,-382.958,-1226.16,1.57467,0.0284903,-0.703758,1749198211116,9
343.661,-382.975,-1226.2,1.57486,0.0282742,-0.703896,1749198211124,8
343.697,-383.12,-1226.28,1.57494,0.0282944,-0.703817,1749198211132,8
343.699,-383.134,-1226.3,1.57491,0.0284809,-0.703863,1749198211141,9
343.816,-383.218,-1226.54,1.57471,0.0282628,-0.703879,1749198211149,8
343.853,-383.279,-1226.61,1.57473,0.0281431,-0.703846,1749198211170,21
343.892,-383.266,-1226.63,1.57467,0.0283446,-0.703945,1749198211175,5
343.873,-383.338,-1226.79,1.57453,0.0284921,-0.703956,1749198211182,7
343.89,-383.347,-1226.83,1.57447,0.0284826,-0.7038,1749198211191,9
343.902,-383.358,-1226.87,1.57456,0.0284641,-0.70386,1749198211199,8
343.917,-383.487,-1227.25,1.57432,0.0288871,-0.703829,1749198211207,8
343.901,-383.52,-1227.28,1.57435,0.0287852,-0.703934,1749198211216,9
343.901,-383.536,-1227.33,1.57437,0.0288002,-0.703766,1749198211224,8
344.057,-383.557,-1227.58,1.57427,0.0287931,-0.703789,1749198211233,9
344.008,-383.54,-1227.47,1.57428,0.0288414,-0.703832,1749198211241,8
344.017,-383.582,-1227.5,1.57433,0.0288082,-0.703748,1749198211249,8
344.035,-383.629,-1227.55,1.57438,0.0286903,-0.703779,1749198211258,9
344.095,-383.762,-1227.84,1.57435,0.0287093,-0.703601,1749198211266,8
344.117,-383.778,-1227.88,1.57433,0.0288156,-0.703721,1749198211274,8
344.313,-383.908,-1228.33,1.57423,0.0289004,-0.703657,1749198211283,9
344.314,-383.943,-1228.38,1.57424,0.0288307,-0.703778,1749198211291,8
344.332,-383.969,-1228.45,1.57424,0.028716,-0.703816,1749198211299,8
344.217,-383.774,-1228.16,1.57422,0.0287961,-0.70372,1749198211307,8
344.236,-383.788,-1228.19,1.57418,0.0287742,-0.703741,1749198211315,8
344.221,-383.807,-1228.15,1.57423,0.0289043,-0.703743,1749198211323,8
344.385,-383.892,-1228.42,1.57406,0.0288679,-0.703726,1749198211335,12
344.416,-384.104,-1228.71,1.574,0.0290674,-0.703667,1749198211379,44
344.458,-384.152,-1228.81,1.57413,0.0290237,-0.70356,1749198211384,5
344.477,-384.148,-1229.14,1.57396,0.0292134,-0.703683,1749198211397,13
344.496,-384.158,-1229.15,1.57383,0.0293371,-0.703631,1749198211430,33
344.509,-384.197,-1229.22,1.5737,0.0292786,-0.703623,1749198211440,10
344.29,-383.896,-1228.53,1.57408,0.0291751,-0.703591,1749198211449,9
344.303,-383.928,-1228.6,1.57407,0.0291919,-0.703646,1749198211457,8
344.228,-383.81,-1228.29,1.57416,0.0291415,-0.703599,1749198211465,8
344.25,-383.827,-1228.34,1.57421,0.0291432,-0.703624,1749198211474,9
344.24,-383.75,-1228.19,1.57432,0.0291339,-0.703586,1749198211482,8
344.268,-383.771,-1228.21,1.57421,0.0290879,-0.703529,1749198211490,8
344.281,-383.782,-1228.26,1.57418,0.0289968,-0.703615,1749198211499,9
344.294,-383.869,-1228.33,1.57425,0.0291864,-0.703448,1749198211507,8
344.317,-383.881,-1228.37,1.57424,0.0292312,-0.703399,1749198211517,10
344.425,-383.845,-1228.54,1.57416,0.0293433,-0.703442,1749198211524,7
344.513,-384.196,-1229.35,1.57406,0.0294336,-0.70339,1749198211533,9
344.382,-383.9,-1228.74,1.57428,0.0292387,-0.703556,1749198211586,53
344.341,-383.96,-1228.71,1.57433,0.0294554,-0.703318,1749198211591,5
344.348,-383.987,-1228.8,1.57429,0.0294312,-0.703285,1749198211608,17
