x,y,z,A,B,C,T,delta_ms
976.058,-190.489,807.61,-3.14114,0.000784353,-3.13122,1749198210147,0
976.061,-190.537,807.614,-3.14117,0.000806237,-3.13122,1749198210151,4
976.062,-190.559,807.618,-3.14118,0.000812054,-3.13122,1749198210155,4
976.063,-190.555,807.622,-3.14115,0.000801805,-3.13123,1749198210159,4
976.048,-190.569,807.637,-3.14113,0.000800116,-3.13124,1749198210163,4
975.985,-190.642,807.686,-3.1411,0.000824111,-3.1312,1749198210167,4
975.938,-190.694,807.723,-3.14108,0.000839487,-3.13119,1749198210171,4
975.937,-190.682,807.723,-3.14109,0.000829004,-3.13122,1749198210175,4
975.937,-190.67,807.724,-3.14109,0.000818522,-3.13125,1749198210179,4
975.942,-190.667,807.722,-3.14112,0.000821409,-3.13124,1749198210183,4
975.948,-190.664,807.721,-3.14115,0.000824296,-3.13122,1749198210187,4
975.951,-190.579,807.676,-3.14116,0.000856243,-3.13123,1749198210191,4
975.953,-190.466,807.616,-3.14116,0.000897876,-3.13124,1749198210195,4
975.964,-190.511,807.63,-3.14119,0.000860306,-3.13126,1749198210199,4
975.975,-190.557,807.644,-3.14121,0.000822737,-3.13128,1749198210203,4
975.98,-190.555,807.641,-3.14121,0.000819157,-3.13128,1749198210207,4
975.985,-190.554,807.638,-3.14121,0.000815576,-3.13128,1749198210211,4
975.991,-190.553,807.635,-3.14121,0.000811996,-3.13127,1749198210215,4
975.996,-190.552,807.633,-3.14121,0.000808415,-3.13127,1749198210219,4
976.001,-190.551,807.63,-3.14121,0.000804835,-3.13126,1749198210223,4
976.006,-190.55,807.627,-3.14121,0.000801255,-3.13126,1749198210227,4
976.012,-190.549,807.624,-3.14121,0.000797674,-3.13125,1749198210231,4
976.017,-190.547,807.621,-3.14121,0.000794094,-3.13125,1749198210235,4
976.022,-190.546,807.618,-3.14121,0.000790513,-3.13125,1749198210239,4
976.028,-190.545,807.615,-3.14121,0.000786933,-3.13124,1749198210243,4
976.033,-190.544,807.612,-3.14121,0.000783353,-3.13124,1749198210247,4
976.024,-190.556,807.614,-3.14123,0.000803998,-3.13125,1749198210251,4
975.971,-190.606,807.628,-3.14129,0.000897323,-3.13129,1749198210255,4
975.973,-190.617,807.629,-3.14126,0.000844192,-3.13129,1749198210259,4
975.975,-190.628,807.63,-3.14123,0.000791061,-3.13128,1749198210263,4
975.977,-190.639,807.631,-3.1412,0.00073793,-3.13128,1749198210267,4
975.982,-190.637,807.63,-3.14118,0.000721425,-3.13128,1749198210271,4
975.987,-190.631,807.628,-3.14118,0.00071713,-3.13128,1749198210275,4
975.992,-190.625,807.627,-3.14118,0.000712834,-3.13128,1749198210279,4
975.997,-190.619,807.625,-3.14117,0.000708539,-3.13128,1749198210283,4
976.002,-190.612,807.623,-3.14117,0.000704243,-3.13129,1749198210287,4
976.077,-190.504,807.563,-3.14124,0.000766336,-3.13129,1749198210291,4
976.186,-190.338,807.475,-3.14133,0.000850303,-3.13127,1749198210295,4
976.185,-190.307,807.476,-3.14127,0.000800738,-3.13116,1749198210299,4
976.208,-190.305,807.468,-3.14127,0.000825356,-3.13121,1749198210303,4
976.183,-190.367,807.497,-3.14128,0.000821812,-3.13123,1749198210307,4
976.142,-190.45,807.537,-3.1413,0.000808881,-3.13125,1749198210311,4
976.131,-190.499,807.55,-3.14132,0.000812063,-3.13127,1749198210315,4
976.152,-190.514,807.534,-3.14134,0.000831359,-3.13128,1749198210319,4
976.139,-190.508,807.548,-3.1413,0.000796887,-3.13128,1749198210323,4
976.115,-190.494,807.572,-3.14125,0.000744493,-3.13127,1749198210327,4
976.109,-190.496,807.582,-3.14124,0.00072688,-3.13126,1749198210331,4
976.119,-190.512,807.58,-3.14127,0.000744047,-3.13126,1749198210335,4
976.131,-190.515,807.578,-3.14128,0.000759222,-3.13125,1749198210339,4
976.143,-190.503,807.578,-3.14124,0.000772405,-3.13124,1749198210343,4
976.146,-190.485,807.572,-3.14123,0.00077653,-3.13123,1749198210347,4
976.125,-190.447,807.55,-3.14127,0.000753484,-3.13122,1749198210351,4
976.115,-190.42,807.538,-3.14129,0.000736338,-3.13122,1749198210355,4
976.115,-190.404,807.538,-3.14127,0.000725093,-3.13124,1749198210359,4
976.115,-190.387,807.538,-3.14125,0.000713849,-3.13126,1749198210363,4
976.09,-190.45,807.583,-3.14123,0.000758075,-3.13124,1749198210367,4
976.076,-190.493,807.617,-3.14121,0.00080614,-3.13123,1749198210371,4
976.096,-190.477,807.618,-3.14121,0.000865717,-3.13125,1749198210375,4
976.115,-190.462,807.62,-3.14121,0.000925294,-3.13128,1749198210379,4
976.113,-190.404,807.593,-3.14117,0.000922614,-3.13123,1749198210383,4
976.117,-190.361,807.57,-3.14115,0.000922423,-3.13119,1749198210387,4
976.137,-190.36,807.553,-3.14121,0.000929697,-3.13121,1749198210391,4
976.157,-190.358,807.537,-3.14126,0.000936972,-3.13122,1749198210395,4
976.173,-190.365,807.529,-3.1413,0.00094481,-3.13117,1749198210399,4
976.168,-190.397,807.537,-3.14132,0.000953643,-3.13112,1749198210403,4
976.107,-190.494,807.586,-3.1413,0.000964902,-3.13116,1749198210407,4
976.045,-190.591,807.634,-3.14128,0.00097616,-3.1312,1749198210411,4
976.012,-190.641,807.655,-3.14126,0.000966829,-3.13121,1749198210415,4
976.007,-190.644,807.648,-3.14122,0.000936909,-3.13119,1749198210419,4
975.943,-190.724,807.69,-3.14121,0.000957956,-3.13121,1749198210423,4
975.86,-190.829,807.749,-3.1412,0.000995991,-3.13124,1749198210427,4
975.815,-190.886,807.78,-3.14121,0.00100493,-3.13126,1749198210431,4
975.81,-190.895,807.785,-3.14123,0.000984766,-3.13128,1749198210435,4
975.814,-190.897,807.788,-3.14123,0.00100381,-3.13127,1749198210439,4
975.821,-190.897,807.79,-3.14123,0.00103593,-3.13126,1749198210443,4
975.806,-190.908,807.794,-3.14124,0.00106341,-3.13126,1749198210447,4
975.768,-190.929,807.8,-3.14126,0.00108625,-3.13126,1749198210451,4
975.74,-190.934,807.803,-3.14125,0.00106263,-3.13125,1749198210455,4
975.722,-190.923,807.804,-3.14123,0.000992532,-3.13124,1749198210459,4
975.703,-190.913,807.805,-3.14121,0.000922436,-3.13122,1749198210463,4
975.67,-190.995,807.823,-3.14118,0.000914354,-3.13131,1749198210467,4
975.655,-191.041,807.831,-3.14118,0.000917261,-3.13135,1749198210471,4
975.658,-191.05,807.83,-3.14122,0.000931161,-3.13135,1749198210475,4
975.658,-191.057,807.831,-3.14125,0.00093601,-3.13135,1749198210479,4
975.651,-191.057,807.835,-3.14124,0.00091371,-3.13136,1749198210483,4
975.658,-191.047,807.832,-3.14124,0.000885174,-3.13137,1749198210487,4
975.706,-191.003,807.809,-3.14126,0.000837931,-3.13134,1749198210491,4
975.742,-190.969,807.792,-3.14127,0.00080384,-3.13131,1749198210495,4
975.746,-190.97,807.79,-3.14125,0.000809205,-3.13129,1749198210499,4
975.749,-190.971,807.788,-3.14123,0.000814571,-3.13127,1749198210503,4
975.777,-190.913,807.746,-3.1412,0.000789119,-3.13128,1749198210507,4
975.804,-190.855,807.704,-3.14117,0.000763667,-3.13129,1749198210511,4
975.818,-190.83,807.679,-3.14115,0.0007421,-3.13128,1749198210515,4
975.819,-190.836,807.672,-3.14115,0.000724417,-3.13127,1749198210519,4
975.777,-190.905,807.707,-3.14117,0.000761001,-3.13126,1749198210523,4
975.722,-190.995,807.757,-3.1412,0.000815675,-3.13127,1749198210527,4
975.703,-191.017,807.766,-3.14121,0.000809845,-3.13125,1749198210531,4
975.697,-191.017,807.761,-3.14121,0.000783847,-3.13123,1749198210535,4
975.696,-191.019,807.756,-3.14122,0.000770267,-3.13124,1749198210539,4
975.695,-191.022,807.752,-3.14124,0.000760827,-3.13125,1749198210543,4
975.695,-191.029,807.758,-3.14124,0.000756755,-3.13128,1749198210547,4
975.691,-191.045,807.793,-3.14119,0.000768787,-3.13135,1749198210551,4
975.713,-191.003,807.787,-3.1412,0.000793469,-3.13136,1749198210555,4
975.76,-190.904,807.741,-3.14127,0.000830801,-3.13132,1749198210559,4
975.795,-190.829,807.708,-3.14133,0.000859109,-3.13129,1749198210563,4
975.794,-190.823,807.711,-3.14133,0.000860354,-3.13129,1749198210567,4
975.792,-190.818,807.715,-3.14133,0.000861599,-3.1313,1749198210571,4
975.791,-190.812,807.718,-3.14133,0.000862844,-3.1313,1749198210575,4
975.79,-190.807,807.722,-3.14133,0.000864089,-3.13131,1749198210579,4
975.789,-190.801,807.725,-3.14133,0.000865334,-3.13132,1749198210583,4
975.788,-190.796,807.729,-3.14133,0.000866579,-3.13132,1749198210587,4
975.787,-190.79,807.732,-3.14133,0.000867824,-3.13133,1749198210591,4
975.784,-190.826,807.736,-3.14135,0.00086901,-3.13133,1749198210595,4
975.782,-190.861,807.74,-3.14136,0.000870197,-3.13134,1749198210599,4
975.779,-190.896,807.744,-3.14137,0.000871383,-3.13135,1749198210603,4
975.776,-190.931,807.749,-3.14139,0.000872569,-3.13136,1749198210607,4
975.774,-190.967,807.753,-3.1414,0.000873756,-3.13136,1749198210611,4
975.771,-191.002,807.757,-3.14141,0.000874942,-3.13137,1749198210615,4
975.768,-191.037,807.761,-3.14142,0.000876129,-3.13138,1749198210619,4
975.778,-191.023,807.754,-3.14142,0.000871645,-3.13138,1749198210623,4
975.788,-191.009,807.748,-3.14141,0.000867161,-3.13138,1749198210627,4
975.798,-190.994,807.742,-3.1414,0.000862678,-3.13138,1749198210631,4
975.808,-190.98,807.735,-3.1414,0.000858194,-3.13138,1749198210635,4
