x,y,z,A,B,C,T,delta_ms
976.058,-190.489,807.61,-3.14114,0.000784353,-3.13122,1749198210147,0
976.06,-190.513,807.612,-3.14117,0.000806237,-3.13122,1749198210151,4
976.061,-190.529,807.614,-3.14117,0.000809145,-3.13122,1749198210155,4
976.061,-190.535,807.616,-3.14117,0.000806699,-3.13123,1749198210159,4
976.058,-190.542,807.62,-3.14116,0.000805053,-3.13123,1749198210163,4
976.046,-190.559,807.631,-3.14115,0.000808864,-3.13122,1749198210167,4
976.031,-190.578,807.644,-3.14114,0.000813968,-3.13122,1749198210171,4
976.019,-190.591,807.654,-3.14113,0.000816116,-3.13122,1749198210175,4
976.01,-190.6,807.662,-3.14112,0.000816417,-3.13122,1749198210179,4
976.003,-190.606,807.668,-3.14112,0.000816971,-3.13122,1749198210183,4
975.998,-190.612,807.673,-3.14113,0.000817704,-3.13122,1749198210187,4
975.994,-190.609,807.673,-3.14113,0.000821208,-3.13122,1749198210191,4
975.991,-190.598,807.669,-3.14113,0.000827597,-3.13123,1749198210195,4
975.989,-190.592,807.666,-3.14114,0.000830113,-3.13123,1749198210199,4
975.988,-190.589,807.665,-3.14114,0.000829586,-3.13123,1749198210203,4
975.987,-190.587,807.663,-3.14115,0.00082889,-3.13124,1749198210207,4
975.987,-190.585,807.662,-3.14115,0.000828058,-3.13124,1749198210211,4
975.988,-190.584,807.66,-3.14115,0.000827113,-3.13124,1749198210215,4
975.988,-190.582,807.659,-3.14116,0.000826074,-3.13124,1749198210219,4
975.989,-190.58,807.657,-3.14116,0.000824957,-3.13124,1749198210223,4
975.986,-190.583,807.658,-3.14116,0.000823771,-3.13124,1749198210227,4
975.984,-190.584,807.659,-3.14116,0.000823343,-3.13125,1749198210231,4
975.981,-190.583,807.659,-3.14117,0.000822445,-3.13125,1749198210235,4
975.979,-190.583,807.659,-3.14117,0.000821881,-3.13125,1749198210239,4
975.978,-190.582,807.657,-3.14117,0.000821222,-3.13125,1749198210243,4
975.981,-190.577,807.654,-3.14118,0.000819184,-3.13125,1749198210247,4
975.985,-190.57,807.648,-3.14119,0.000817409,-3.13125,1749198210251,4
975.987,-190.566,807.644,-3.1412,0.000820825,-3.13126,1749198210255,4
975.988,-190.564,807.639,-3.1412,0.000822109,-3.13126,1749198210259,4
975.99,-190.562,807.634,-3.14121,0.000820591,-3.13126,1749198210263,4
975.992,-190.56,807.63,-3.14121,0.000816273,-3.13126,1749198210267,4
975.993,-190.563,807.627,-3.14121,0.000809532,-3.13126,1749198210271,4
975.995,-190.571,807.628,-3.14121,0.000800495,-3.13127,1749198210275,4
