x,y,z,A,B,C,T,delta_ms
976.058,-190.489,807.61,-3.14114,0.000784353,-3.13122,1749198210147,0
976.062,-190.562,807.616,-3.14119,0.000817179,-3.13122,1749198210153,6
976.063,-190.551,807.625,-3.14114,0.000794118,-3.13124,1749198210162,9
975.938,-190.697,807.723,-3.14108,0.000842107,-3.13118,1749198210170,8
975.937,-190.67,807.724,-3.14109,0.000818522,-3.13125,1749198210179,9
975.949,-190.664,807.721,-3.14116,0.000825018,-3.13122,1749198210188,9
975.953,-190.466,807.616,-3.14116,0.000897876,-3.13124,1749198210195,7
975.975,-190.557,807.644,-3.14121,0.000822737,-3.13128,1749198210203,8
976.037,-190.543,807.61,-3.14121,0.000780667,-3.13123,1749198210250,47
975.971,-190.606,807.628,-3.14129,0.000897323,-3.13129,1749198210255,5
975.978,-190.642,807.631,-3.14119,0.000724647,-3.13128,1749198210268,13
976.005,-190.609,807.622,-3.14117,0.000702096,-3.13129,1749198210289,21
976.186,-190.346,807.475,-3.14134,0.000862696,-3.13129,1749198210294,5
976.185,-190.307,807.476,-3.14127,0.000800738,-3.13116,1749198210299,5
976.214,-190.304,807.466,-3.14127,0.00083151,-3.13122,1749198210304,5
976.121,-190.492,807.557,-3.14131,0.000802416,-3.13126,1749198210313,9
976.158,-190.518,807.531,-3.14134,0.000836183,-3.13129,1749198210320,7
976.103,-190.488,807.584,-3.14122,0.000718297,-3.13126,1749198210329,9
976.125,-190.52,807.578,-3.14129,0.000752631,-3.13126,1749198210337,8
976.152,-190.495,807.578,-3.14122,0.000782292,-3.13123,1749198210346,9
976.115,-190.428,807.538,-3.1413,0.00074196,-3.13121,1749198210353,7
976.115,-190.387,807.538,-3.14125,0.000713849,-3.13126,1749198210363,10
976.072,-190.497,807.616,-3.14121,0.000791245,-3.13122,1749198210370,7
976.115,-190.462,807.62,-3.14121,0.000925294,-3.13128,1749198210379,9
976.112,-190.361,807.574,-3.14114,0.000920605,-3.13119,1749198210386,7
976.162,-190.358,807.533,-3.14128,0.00093879,-3.13123,1749198210396,10
976.183,-190.372,807.525,-3.14133,0.000950829,-3.13111,1749198210402,6
976.014,-190.64,807.659,-3.14127,0.000981789,-3.13122,1749198210413,11
976.005,-190.645,807.646,-3.14122,0.000929429,-3.13118,1749198210420,7
975.818,-190.882,807.778,-3.1412,0.00101501,-3.13126,1749198210429,9
975.809,-190.897,807.787,-3.14123,0.000979725,-3.13128,1749198210436,7
975.825,-190.897,807.791,-3.14123,0.00105199,-3.13126,1749198210445,9
975.75,-190.94,807.803,-3.14126,0.00109768,-3.13126,1749198210453,8
975.703,-190.913,807.805,-3.14121,0.000922436,-3.13122,1749198210463,10
975.654,-191.036,807.831,-3.14116,0.000910311,-3.13135,1749198210469,6
975.659,-191.057,807.83,-3.14125,0.000941586,-3.13134,1749198210478,9
975.646,-191.058,807.838,-3.14124,0.000896984,-3.13138,1749198210486,8
975.741,-190.969,807.792,-3.14127,0.000802499,-3.13131,1749198210494,8
975.749,-190.971,807.788,-3.14123,0.000814571,-3.13127,1749198210503,9
975.817,-190.827,807.683,-3.14115,0.000750941,-3.13129,1749198210513,10
975.819,-190.837,807.67,-3.14115,0.000719996,-3.13126,1749198210520,7
975.708,-191.018,807.77,-3.14121,0.000829344,-3.13127,1749198210528,8
975.696,-191.017,807.759,-3.14121,0.000777348,-3.13122,1749198210536,8
975.695,-191.025,807.749,-3.14125,0.000753747,-3.13127,1749198210546,10
975.69,-191.053,807.81,-3.14116,0.000774802,-3.13139,1749198210553,7
975.795,-190.83,807.707,-3.14133,0.000858797,-3.13129,1749198210562,9
975.787,-190.79,807.732,-3.14133,0.000867824,-3.13133,1749198210591,29
975.768,-191.037,807.761,-3.14142,0.000876129,-3.13138,1749198210619,28
975.883,-190.873,807.686,-3.14135,0.000824565,-3.1314,1749198210665,46
975.883,-190.834,807.686,-3.14127,0.000804454,-3.13139,1749198210724,59
975.647,-191.101,807.817,-3.14128,0.000810237,-3.13142,1749198210732,8
975.673,-191.063,807.801,-3.14127,0.000869671,-3.13149,1749198210755,23
975.642,-191.061,807.801,-3.14126,0.000737891,-3.13146,1749198210760,5
975.66,-191.071,807.801,-3.1413,0.000774563,-3.13138,1749198210766,6
975.711,-191.055,807.82,-3.14131,0.000713361,-3.13145,1749198210774,8
975.728,-191.086,807.81,-3.14141,0.00072634,-3.13145,1749198210783,9
975.672,-191.019,807.801,-3.14128,0.000600139,-3.13144,1749198210791,8
975.678,-191.025,807.79,-3.14133,0.000584547,-3.13144,1749198210799,8
975.643,-191.042,807.8,-3.14131,0.000609722,-3.13136,1749198210807,8
975.641,-191.037,807.798,-3.14136,0.000556112,-3.13144,1749198210815,8
975.71,-190.96,807.787,-3.14136,0.000683448,-3.13143,1749198210824,9
975.73,-190.917,807.78,-3.14133,0.000692816,-3.13151,1749198210837,13
975.724,-190.92,807.773,-3.14138,0.000653869,-3.13146,1749198210842,5
975.58,-191.027,807.84,-3.14121,0.000548232,-3.13149,1749198210848,6
975.609,-191.049,807.837,-3.14128,0.000626274,-3.13153,1749198210857,9
975.616,-191.043,807.836,-3.14128,0.000639884,-3.13154,1749198210865,8
975.541,-191.113,807.835,-3.14125,0.000570212,-3.13154,1749198210874,9
975.565,-191.12,807.824,-3.14128,0.000655556,-3.13151,1749198210882,8
975.635,-190.965,807.77,-3.14121,0.000584899,-3.13153,1749198210891,9
975.636,-190.945,807.75,-3.14118,0.000571541,-3.13153,1749198210899,8
975.662,-190.956,807.804,-3.14118,0.000785982,-3.1318,1749198210907,8
975.823,-190.884,807.749,-3.14109,0.000857496,-3.13185,1749198210915,8
975.65,-190.995,807.729,-3.14147,0.000597091,-3.13123,1749198210924,9
975.885,-190.796,807.619,-3.14117,0.000707102,-3.13163,1749198210932,8
975.87,-190.765,807.637,-3.14137,0.000709061,-3.13113,1749198210941,9
975.881,-190.676,807.624,-3.14134,0.000604492,-3.13152,1749198210949,8
975.708,-190.764,807.469,-3.1415,0.000642713,-3.13177,1749198210958,9
975.667,-190.677,807.48,-3.14099,0.000413218,-3.13112,1749198210970,12
975.726,-190.74,807.479,-3.14138,0.000641522,-3.13148,1749198210981,11
976.07,-190.559,807.301,3.1413,0.000942114,-3.13153,1749198210991,10
975.932,-190.359,807.253,-3.14139,0.000714108,-3.13123,1749198210999,8
975.754,-190.693,807.518,-3.14133,0.00043904,-3.13142,1749198211007,8
975.869,-190.592,807.578,-3.14119,0.000710869,-3.13138,1749198211016,9
975.875,-190.741,807.541,3.14138,0.000790274,-3.13157,1749198211024,8
975.752,-190.814,807.665,-3.14129,0.000468907,-3.13138,1749198211032,8
975.69,-190.837,807.623,-3.14137,0.000333349,-3.13136,1749198211040,8
975.553,-191.077,807.773,-3.14145,0.000381729,-3.13155,1749198211049,9
975.597,-191.027,807.753,-3.14127,0.000359111,-3.13145,1749198211057,8
975.588,-191.018,807.739,-3.14134,0.000345474,-3.13163,1749198211065,8
975.633,-191.03,807.716,-3.14136,0.000369761,-3.13146,1749198211074,9
975.663,-191.015,807.702,-3.14148,0.000496618,-3.13128,1749198211082,8
975.706,-190.999,807.673,-3.14147,0.000467712,-3.13126,1749198211090,8
975.578,-191.032,807.853,-3.14123,0.000328455,-3.13145,1749198211099,9
975.568,-191.023,807.87,-3.14129,0.000284181,-3.1317,1749198211107,8
975.622,-191.051,807.871,-3.14147,0.000434655,-3.1315,1749198211116,9
975.582,-190.945,807.863,-3.14123,0.000281833,-3.13164,1749198211124,8
975.649,-190.856,807.719,-3.14116,0.000323165,-3.13155,1749198211132,8
975.699,-190.861,807.701,-3.14124,0.000494658,-3.1316,1749198211141,9
975.808,-190.697,807.617,-3.14137,0.000230282,-3.13162,1749198211149,8
975.835,-190.622,807.559,-3.14131,0.000120516,-3.13159,1749198211170,21
975.921,-190.652,807.566,-3.14143,0.000297159,-3.13169,1749198211175,5
975.975,-190.531,807.49,3.14158,0.000399473,-3.1317,1749198211182,7
975.997,-190.515,807.48,3.14153,0.00037322,-3.13154,1749198211191,9
976.021,-190.454,807.472,-3.14156,0.000381503,-3.1316,1749198211199,8
976.23,-190.179,807.334,3.14127,0.000719331,-3.13157,1749198211207,8
976.198,-190.132,807.303,3.14132,0.000628724,-3.13168,1749198211216,9
976.219,-190.082,807.289,3.14134,0.000647703,-3.13151,1749198211224,8
976.43,-189.905,807.265,3.14125,0.000614702,-3.13153,1749198211233,9
976.364,-190.003,807.281,3.14124,0.000662081,-3.13158,1749198211241,8
976.378,-189.958,807.241,3.1413,0.000644455,-3.13149,1749198211249,8
976.381,-189.895,807.197,3.14138,0.000546236,-3.13152,1749198211258,9
976.523,-189.641,807.064,3.14135,0.000555436,-3.13134,1749198211266,8
976.58,-189.62,807.046,3.1413,0.000652412,-3.13146,1749198211274,8
976.906,-189.273,806.913,3.14118,0.000704721,-3.1314,1749198211283,9
976.902,-189.217,806.88,3.14121,0.00064184,-3.13152,1749198211291,8
976.91,-189.143,806.856,3.14124,0.000532793,-3.13156,1749198211299,8
976.739,-189.41,807.049,3.1412,0.000601906,-3.13147,1749198211307,8
976.759,-189.389,807.034,3.14117,0.000570286,-3.13149,1749198211315,8
976.77,-189.42,807.014,3.14118,0.000710135,-3.13149,1749198211323,8
976.979,-189.25,806.925,3.14103,0.000627413,-3.13147,1749198211335,12
977.134,-189.002,806.711,3.14091,0.000800876,-3.13141,1749198211379,44
977.201,-188.886,806.666,3.14105,0.000793919,-3.1313,1749198211384,5
977.345,-188.631,806.666,3.14083,0.000928374,-3.13143,1749198211397,13
977.389,-188.666,806.651,3.14067,0.0010098,-3.13138,1749198211430,33
977.398,-188.625,806.612,3.14057,0.000919359,-3.13137,1749198211440,10
977,-189.134,806.919,3.14096,0.00092595,-3.13133,1749198211449,9
977.035,-189.07,806.888,3.14094,0.000937931,-3.13139,1749198211457,8
976.871,-189.325,807.007,3.14105,0.000916333,-3.13134,1749198211465,8
976.909,-189.273,806.99,3.14109,0.000931068,-3.13137,1749198211474,9
976.866,-189.381,807.069,3.1412,0.000953299,-3.13133,1749198211482,8
976.881,-189.389,807.047,3.14111,0.000878707,-3.13127,1749198211490,8
976.881,-189.35,807.037,3.1411,0.000781042,-3.13136,1749198211499,9
976.965,-189.285,806.948,3.14112,0.000981131,-3.13119,1749198211507,8
977.01,-189.257,806.934,3.1411,0.00102268,-3.13114,1749198211517,10
977.185,-189.15,806.967,3.14099,0.00110813,-3.13118,1749198211524,7
977.509,-188.42,806.618,3.14087,0.00116632,-3.13113,1749198211533,9
