x,y,z,A,B,C
1148.21,-150.708,774.36,-2.97686,-0.253761,1.57551
1148.32,-150.677,774.32,-2.97697,-0.253465,1.57538
1148.36,-150.711,774.287,-2.97693,-0.253637,1.57555
1148.43,-150.589,774.286,-2.9769,-0.253888,1.57546
1148.44,-150.709,774.347,-2.97676,-0.253989,1.57562
1148.49,-150.746,774.367,-2.97688,-0.253883,1.57552
1148.33,-150.763,774.335,-2.97692,-0.253767,1.57546
1148.37,-150.792,774.34,-2.97681,-0.253738,1.57548
1148.33,-150.829,774.347,-2.9768,-0.253788,1.57547
1148.34,-150.862,774.372,-2.97694,-0.253764,1.57548
1148.29,-150.882,774.424,-2.97688,-0.253784,1.57544
1148.28,-150.911,774.429,-2.97685,-0.25381,1.57554
1148.17,-151.16,774.512,-2.97685,-0.253762,1.57543
1148.15,-151.186,774.5,-2.97691,-0.25381,1.57539
1148.17,-151.233,774.527,-2.97688,-0.253836,1.57539
1148.17,-151.232,774.542,-2.97678,-0.253772,1.57532
1148.16,-151.286,774.531,-2.97677,-0.253749,1.57546
1148.18,-151.34,774.521,-2.97682,-0.253932,1.57531
1148.15,-151.375,774.54,-2.97675,-0.253888,1.57537
1148.17,-151.414,774.591,-2.9768,-0.253674,1.5754
1148.13,-151.438,774.632,-2.97691,-0.253776,1.57528
1148.22,-151.2,774.484,-2.97684,-0.253858,1.57537
1148.14,-151.211,774.52,-2.97682,-0.253905,1.5754
1148.13,-151.237,774.537,-2.97673,-0.253853,1.57545
1148.13,-151.285,774.549,-2.97682,-0.253708,1.57537
1148.09,-151.307,774.543,-2.97682,-0.253686,1.57534
1148.09,-151.35,774.556,-2.97683,-0.25381,1.57536
1148.07,-151.239,774.519,-2.97679,-0.253822,1.57542
1148.06,-151.273,774.527,-2.97673,-0.253803,1.57542
1148.11,-151.068,774.483,-2.9767,-0.253896,1.5754
1148.12,-151.142,774.522,-2.97684,-0.253745,1.57545
1148.1,-151.127,774.461,-2.97673,-0.253861,1.57536
1148.17,-151.138,774.429,-2.97681,-0.253939,1.57545
1148.17,-151.165,774.429,-2.97683,-0.253847,1.57534
1148.18,-151.203,774.432,-2.97686,-0.253846,1.57535
1148.12,-151.227,774.43,-2.9768,-0.253923,1.57542
1148.13,-151.269,774.414,-2.97676,-0.254019,1.57538
1148.14,-151.321,774.415,-2.97683,-0.253967,1.57538
1148.1,-151.382,774.445,-2.97684,-0.253927,1.5753
1148.24,-150.972,774.335,-2.97691,-0.25379,1.57544
1148.21,-150.934,774.368,-2.9769,-0.253682,1.57536
1148.25,-150.996,774.376,-2.9768,-0.253782,1.57527
1148.26,-151.005,774.382,-2.97674,-0.253792,1.57532
1148.27,-151.051,774.386,-2.97669,-0.253795,1.57542
1148.26,-151.084,774.389,-2.97688,-0.253691,1.57531
1148.24,-151.126,774.386,-2.97664,-0.253773,1.57534
1148.25,-151.172,774.412,-2.97674,-0.253826,1.5753
1148.36,-150.534,774.258,-2.97676,-0.253621,1.57543
1148.37,-150.566,774.268,-2.9768,-0.253666,1.57537
1148.43,-150.365,774.234,-2.97671,-0.25373,1.57541
1148.48,-150.416,774.227,-2.97678,-0.253675,1.57536
1148.63,-150.162,774.162,-2.9768,-0.253761,1.5754
1148.77,-149.775,774.06,-2.97678,-0.25365,1.57549
1148.8,-149.801,774.052,-2.97665,-0.253765,1.57562
1148.82,-149.813,774.038,-2.9768,-0.253776,1.57547
1148.88,-149.639,773.982,-2.97683,-0.253694,1.57557
1148.89,-149.646,773.988,-2.97675,-0.253626,1.57559
1148.85,-149.649,773.993,-2.97668,-0.253653,1.57558
1148.85,-149.654,774.006,-2.9768,-0.253693,1.57554
1148.84,-149.657,773.996,-2.97676,-0.25369,1.57558
1148.72,-149.351,773.977,-2.9767,-0.253697,1.57555
1148.69,-149.306,773.948,-2.97677,-0.253648,1.57554
1148.68,-149.298,773.944,-2.97669,-0.253743,1.57553
1148.68,-149.291,773.936,-2.97663,-0.25374,1.57551
1148.62,-149.264,773.934,-2.97658,-0.253684,1.57556
1148.62,-149.269,773.916,-2.9767,-0.253685,1.57554
1148.58,-149.257,773.9,-2.97662,-0.253696,1.57555
1148.53,-149.252,773.899,-2.97678,-0.253628,1.57543
1148.49,-149.241,773.909,-2.97675,-0.253673,1.57552
1148.7,-149.317,773.955,-2.97672,-0.25377,1.57547
1148.85,-149.017,773.923,-2.97672,-0.253792,1.57556
1148.91,-148.762,773.929,-2.97668,-0.253898,1.57552
1148.91,-148.374,773.925,-2.97699,-0.25393,1.57533
1148.95,-148.232,773.891,-2.97715,-0.25384,1.57537
1148.95,-148,773.868,-2.97719,-0.25371,1.57546
1149.19,-147.518,773.841,-2.97656,-0.253557,1.57554
1149.19,-147.188,773.862,-2.97708,-0.253862,1.57551
1149.12,-147.07,773.763,-2.97687,-0.25403,1.5754
1149.17,-146.872,773.69,-2.97716,-0.253766,1.57534
1149.17,-146.533,773.722,-2.97663,-0.254171,1.5754
1149.15,-146.174,773.73,-2.97668,-0.253748,1.57534
1149.16,-145.83,773.699,-2.97665,-0.253923,1.57548
1149.19,-145.411,773.634,-2.97664,-0.253852,1.57545
1149.25,-144.928,773.586,-2.97681,-0.253752,1.57535
1149.21,-144.425,773.58,-2.97691,-0.253684,1.57546
1149.28,-143.789,773.545,-2.97672,-0.253608,1.57546
1149.28,-143.274,773.535,-2.97666,-0.253896,1.57548
1149.28,-142.758,773.501,-2.97659,-0.253861,1.57557
1149.34,-142.202,773.464,-2.97692,-0.253938,1.57537
1149.28,-141.887,773.504,-2.97677,-0.253696,1.57546
1149.38,-141.244,773.438,-2.97687,-0.253714,1.57541
1149.38,-140.686,773.401,-2.97659,-0.253641,1.57553
1149.56,-139.956,773.379,-2.97661,-0.253785,1.57545
1149.6,-139.364,773.366,-2.97652,-0.253931,1.57557
1149.76,-138.42,773.352,-2.97652,-0.253968,1.57551
1149.86,-137.632,773.33,-2.97627,-0.253485,1.5755
1149.93,-136.842,773.236,-2.97683,-0.253397,1.57552
1149.76,-136.51,773.327,-2.97619,-0.2537,1.57559
1149.84,-135.612,773.253,-2.97706,-0.254333,1.57573
1149.93,-134.745,773.266,-2.97689,-0.253957,1.57567
1149.97,-133.988,773.219,-2.9766,-0.253734,1.57545
1149.8,-133.62,773.244,-2.97692,-0.253854,1.57588
1149.86,-132.877,773.195,-2.9766,-0.253985,1.57548
1149.58,-132.625,773.353,-2.97672,-0.253844,1.57562
1149.67,-131.839,773.382,-2.97672,-0.25381,1.57551
1149.57,-130.606,773.361,-2.9764,-0.253661,1.57538
1149.58,-129.899,773.342,-2.97645,-0.253987,1.57562
1149.6,-129.243,773.412,-2.97639,-0.253913,1.57554
1149.75,-128.334,773.32,-2.97678,-0.253932,1.57566
1149.76,-127.763,773.316,-2.97676,-0.254184,1.57555
1149.72,-127.477,773.377,-2.97661,-0.253849,1.57561
1149.78,-126.741,773.303,-2.97669,-0.254232,1.57555
1149.67,-126.144,773.384,-2.97626,-0.254133,1.57564
1149.76,-125.423,773.365,-2.97695,-0.254077,1.57559
1149.8,-124.653,773.353,-2.97641,-0.253943,1.57551
1149.73,-123.877,773.353,-2.97663,-0.253963,1.5758
1149.92,-120.705,773.243,-2.97671,-0.254103,1.57573
1149.72,-120.478,773.405,-2.9763,-0.25373,1.5757
1149.71,-120.098,773.384,-2.97664,-0.253849,1.57568
1149.77,-119.243,773.387,-2.97612,-0.254047,1.57577
1149.72,-116.245,773.453,-2.97613,-0.253996,1.57575
1149.55,-113.451,773.501,-2.977,-0.253909,1.57587
1149.51,-112.571,773.542,-2.97679,-0.254013,1.5759
1149.52,-112.182,773.53,-2.97671,-0.253943,1.57576
1149.4,-111.728,773.612,-2.97682,-0.254064,1.57582
1149.46,-110.277,773.507,-2.97661,-0.254112,1.57591
1149.54,-108.783,773.497,-2.9762,-0.254295,1.57596
1149.55,-108.425,773.475,-2.97662,-0.254214,1.57593
1149.59,-106.57,773.381,-2.97672,-0.254192,1.57591
1149.62,-106.11,773.389,-2.97659,-0.254179,1.57593
1149.66,-104.845,773.33,-2.97654,-0.254027,1.57589
1149.61,-104.442,773.333,-2.97651,-0.254324,1.57589
1149.59,-103.55,773.323,-2.9769,-0.254107,1.5758
1149.61,-102.755,773.346,-2.97631,-0.254285,1.5759
1149.72,-102.189,773.566,-2.97633,-0.254275,1.57585
1149.68,-101.539,773.544,-2.97689,-0.254362,1.57611
1149.69,-101.214,773.677,-2.97617,-0.254199,1.57592
1149.67,-100.487,773.66,-2.9769,-0.254328,1.57589
1149.63,-100.013,773.733,-2.97687,-0.254181,1.57602
1149.64,-99.2647,773.761,-2.97642,-0.254315,1.57591
1149.61,-98.65,773.729,-2.97636,-0.254208,1.57605
1149.63,-97.8855,773.698,-2.97606,-0.254082,1.57628
1149.46,-96.6491,773.743,-2.97627,-0.2539,1.57625
1149.51,-96.3073,773.731,-2.97661,-0.25388,1.57608
1149.49,-94.8972,773.712,-2.97614,-0.253826,1.57601
1149.51,-94.2024,773.676,-2.97627,-0.253909,1.57596
1149.41,-94.0155,773.787,-2.97641,-0.253825,1.57611
1149.37,-92.6132,773.835,-2.9763,-0.253797,1.57622
1149.36,-91.2324,773.825,-2.97608,-0.253873,1.57621
1149.36,-90.8694,773.828,-2.97622,-0.253957,1.57616
1149.35,-90.4875,773.859,-2.97617,-0.254005,1.57606
1149.33,-89.808,773.838,-2.97616,-0.253955,1.5761
1149.35,-89.1664,773.806,-2.9763,-0.253695,1.57611
1149.36,-88.4003,773.88,-2.97613,-0.253798,1.57613
1149.46,-86.396,773.793,-2.9764,-0.253827,1.57622
1149.38,-85.6568,773.889,-2.97635,-0.253628,1.57641
1149.44,-85.0287,773.863,-2.97634,-0.253748,1.57616
1149.34,-84.3291,773.869,-2.97623,-0.253873,1.57625
1149.4,-83.4502,773.887,-2.97664,-0.254052,1.57619
1149.37,-82.8099,773.954,-2.97639,-0.253685,1.57615
1149.37,-82.108,773.954,-2.97634,-0.253757,1.57616
1149.28,-80.9184,774.017,-2.97642,-0.25394,1.57633
1149.3,-80.5221,774.023,-2.9765,-0.253695,1.57618
1149.3,-79.5936,774.028,-2.97658,-0.253611,1.57616
1149.27,-79.2826,774.055,-2.97628,-0.253662,1.57625
1149.15,-79.3673,774.17,-2.9761,-0.253829,1.57605
1149.15,-78.6084,774.128,-2.9762,-0.253923,1.57628
1149.23,-77.9089,774.101,-2.97654,-0.253996,1.57611
1149.22,-77.3291,774.159,-2.9764,-0.253763,1.57607
1149.19,-76.6332,774.155,-2.97676,-0.25376,1.57632
1149.23,-75.9738,774.161,-2.97615,-0.253902,1.57609
1149.15,-75.4816,774.156,-2.97628,-0.254109,1.57626
1149.18,-74.8207,774.191,-2.9763,-0.253944,1.57624
1149.1,-74.065,774.247,-2.97646,-0.253937,1.57627
1149.12,-73.4181,774.257,-2.97637,-0.253711,1.57612
1149,-72.6606,774.272,-2.97619,-0.25365,1.57621
1148.84,-68.8258,774.179,-2.97666,-0.253534,1.57636
1148.98,-68.1369,774.171,-2.97644,-0.253824,1.57607
1148.89,-66.7894,774.238,-2.97671,-0.253887,1.57612
1149.05,-65.3742,774.218,-2.97621,-0.254037,1.57617
1149.06,-63.8788,774.22,-2.97601,-0.253701,1.57616
1148.97,-62.9381,774.273,-2.97614,-0.253972,1.57595
1149.17,-57.5779,774.12,-2.97687,-0.253848,1.57633
1149.19,-56.3797,774.106,-2.97669,-0.254316,1.57634
