x,y,z,A,B,C
352.42,-372.735,-1627.53,1.58598,0.0094389,-1.44448
352.431,-372.74,-1627.51,1.58605,0.00935087,-1.44443
352.367,-372.648,-1627.12,1.58612,0.0094243,-1.44446
352.39,-372.649,-1627.09,1.5862,0.00946474,-1.44452
352.404,-372.65,-1627.07,1.58613,0.00948197,-1.44442
352.347,-372.712,-1627.19,1.58616,0.00949099,-1.44446
352.362,-372.718,-1627.16,1.58616,0.00953172,-1.44444
352.374,-372.717,-1627.14,1.5861,0.00951725,-1.44446
352.398,-372.727,-1627.12,1.58611,0.00955036,-1.4445
352.304,-372.672,-1627.05,1.58617,0.00965725,-1.44441
352.305,-372.665,-1627.03,1.58613,0.00953156,-1.44443
352.292,-372.666,-1627,1.58615,0.00956631,-1.44442
352.295,-372.653,-1626.98,1.5861,0.00956619,-1.4444
352.295,-372.648,-1626.95,1.5861,0.00956016,-1.44442
352.283,-372.64,-1626.93,1.58607,0.00966032,-1.44443
352.282,-372.646,-1626.91,1.58612,0.00959502,-1.4444
352.037,-372.55,-1626.66,1.58608,0.00965863,-1.44437
352.012,-372.509,-1626.52,1.58606,0.0095894,-1.44442
352.103,-372.563,-1626.78,1.58609,0.0094639,-1.44449
352.098,-372.551,-1626.77,1.58606,0.00950766,-1.44442
352.067,-372.546,-1626.74,1.58607,0.00939651,-1.44433
352.06,-372.45,-1626.53,1.5861,0.00939343,-1.4444
352.04,-372.433,-1626.5,1.58613,0.00938817,-1.44439
352.074,-372.55,-1626.8,1.58612,0.00938369,-1.44441
352.072,-372.547,-1626.77,1.58614,0.00943067,-1.44445
352.179,-372.596,-1627,1.58614,0.00938329,-1.4444
352.175,-372.587,-1626.98,1.58618,0.00939281,-1.44441
352.162,-372.58,-1626.96,1.58609,0.00931556,-1.44431
352.188,-372.598,-1627.17,1.58609,0.00934909,-1.4442
352.196,-372.597,-1627.14,1.58611,0.00942317,-1.44433
352.225,-372.666,-1627.23,1.5862,0.00933138,-1.44429
352.239,-372.672,-1627.22,1.58618,0.00937931,-1.44423
352.235,-372.675,-1627.19,1.5861,0.00937137,-1.44425
352.243,-372.673,-1627.15,1.58612,0.00940008,-1.4443
352.239,-372.671,-1627.14,1.58613,0.0093723,-1.44423
352.275,-372.67,-1627.13,1.58611,0.00924928,-1.44423
352.415,-372.829,-1628.02,1.58602,0.00930594,-1.44413
352.448,-372.828,-1628.02,1.58606,0.00920815,-1.44412
352.9,-373.142,-1629.26,1.58607,0.00900131,-1.44396
352.906,-373.147,-1629.28,1.58611,0.00906223,-1.44394
352.891,-373.236,-1629.54,1.58616,0.00911642,-1.44401
352.914,-373.238,-1629.6,1.58612,0.00908169,-1.44386
352.726,-373.189,-1629.44,1.58624,0.00927857,-1.444
352.817,-373.176,-1629.48,1.58633,0.00920153,-1.444
352.834,-373.179,-1629.56,1.58636,0.00916303,-1.44403
352.727,-373.12,-1629.17,1.58634,0.00912447,-1.44398
352.724,-373.114,-1629.18,1.58639,0.00922618,-1.44398
352.744,-373.117,-1629.18,1.58637,0.0092033,-1.44407
352.742,-373.116,-1629.19,1.58635,0.00913993,-1.44412
352.665,-373.075,-1629.04,1.58635,0.00923089,-1.44416
352.683,-373.08,-1629.04,1.58639,0.00915579,-1.44405
352.697,-373.103,-1629.06,1.58635,0.00918801,-1.44406
352.717,-373.104,-1629.07,1.58639,0.00921771,-1.44412
352.671,-373.073,-1628.87,1.58643,0.0092297,-1.44411
352.699,-373.08,-1628.87,1.58633,0.00917299,-1.44417
352.602,-373.02,-1628.6,1.58642,0.00905504,-1.44411
352.615,-373.012,-1628.6,1.5864,0.00912894,-1.44413
352.622,-373.015,-1628.59,1.5864,0.00915473,-1.44413
352.564,-372.977,-1628.55,1.5864,0.00917635,-1.44412
352.561,-372.965,-1628.54,1.58644,0.00910729,-1.44417
352.588,-372.974,-1628.55,1.58638,0.0091514,-1.44412
352.709,-373.047,-1628.97,1.58638,0.00917307,-1.44403
352.72,-373.044,-1628.97,1.58626,0.00913028,-1.44405
352.706,-373.067,-1629.07,1.58632,0.00898756,-1.44398
352.618,-373.036,-1628.78,1.58634,0.00907357,-1.44403
352.556,-373.025,-1628.51,1.58637,0.00905586,-1.44405
352.545,-373.033,-1628.49,1.58638,0.00910212,-1.44406
352.604,-372.999,-1628.58,1.58639,0.00895591,-1.44411
352.625,-373.002,-1628.58,1.5864,0.00899991,-1.44411
352.627,-373.002,-1628.57,1.5864,0.00900411,-1.44411
352.606,-372.986,-1628.54,1.58635,0.00903217,-1.44418
352.616,-372.986,-1628.53,1.58636,0.00900625,-1.4441
352.625,-373.073,-1628.72,1.58646,0.00909436,-1.44422
352.628,-373.08,-1628.72,1.58642,0.00907442,-1.44414
352.607,-373.126,-1628.94,1.5864,0.00908178,-1.44412
352.603,-373.132,-1628.94,1.58633,0.00910526,-1.44412
352.598,-373.144,-1628.95,1.58634,0.00902257,-1.44417
352.553,-373.1,-1628.74,1.58636,0.00905802,-1.44419
352.547,-373.109,-1628.74,1.58637,0.00902026,-1.4442
352.54,-373.116,-1628.73,1.58643,0.00905964,-1.44417
352.552,-373.119,-1628.73,1.58639,0.00905697,-1.4442
352.54,-373.13,-1628.72,1.58645,0.00904262,-1.44417
352.561,-373.088,-1628.8,1.58643,0.00895203,-1.44416
352.565,-373.059,-1628.79,1.58647,0.00903041,-1.44415
352.503,-372.92,-1628.35,1.58655,0.00896186,-1.44414
352.546,-372.883,-1628.34,1.58652,0.00902955,-1.44429
352.543,-372.867,-1628.32,1.58653,0.00903522,-1.44433
352.556,-372.839,-1628.31,1.58651,0.00907395,-1.44424
352.562,-372.838,-1628.3,1.58652,0.00905032,-1.44421
352.415,-372.887,-1627.89,1.58655,0.00920822,-1.4443
352.399,-372.961,-1627.84,1.5865,0.00911983,-1.44421
352.453,-373.072,-1627.93,1.5865,0.00858708,-1.44423
352.385,-374.141,-1627.86,1.58634,0.00736663,-1.44417
352.359,-374.183,-1628.05,1.58628,0.0077889,-1.44425
352.369,-374.885,-1628.01,1.58623,0.00946849,-1.44433
352.34,-375.101,-1627.99,1.5862,0.00958425,-1.44467
352.256,-375.812,-1627.96,1.58646,0.00780674,-1.44417
352.417,-375.996,-1628.27,1.58628,0.00866419,-1.44437
352.465,-377.2,-1628.14,1.58631,0.00898417,-1.44427
352.483,-377.393,-1628.15,1.58646,0.00939123,-1.44447
352.387,-377.702,-1628.15,1.58644,0.00877838,-1.44443
352.538,-382.795,-1628.04,1.5865,0.00929445,-1.44438
352.579,-385.91,-1627.87,1.58648,0.0093932,-1.44447
352.669,-390.588,-1627.76,1.58648,0.00945627,-1.44424
352.607,-392.356,-1627.68,1.58654,0.0101652,-1.44462
352.685,-392.866,-1627.87,1.58654,0.00964801,-1.44442
352.891,-395.019,-1627.84,1.5864,0.01048,-1.4445
352.575,-395.464,-1627.87,1.58629,0.00968807,-1.44454
352.517,-396.414,-1627.86,1.58633,0.00972361,-1.44442
352.33,-399.64,-1627.54,1.58644,0.00998974,-1.44501
352.33,-399.64,-1627.54,1.58644,0.00998974,-1.44501
352.641,-409.218,-1627.42,1.5867,0.00963545,-1.44481
352.7,-409.486,-1627.38,1.58646,0.00983937,-1.44481
352.713,-409.97,-1627.56,1.58635,0.0092779,-1.44449
352.783,-410.77,-1627.52,1.58633,0.0101244,-1.44462
352.871,-411.303,-1627.53,1.58641,0.0102136,-1.44464
352.86,-411.992,-1627.43,1.58651,0.0104673,-1.44465
352.982,-412.933,-1627.42,1.58626,0.0106096,-1.44437
352.891,-413.93,-1627.33,1.58616,0.00997102,-1.44418
353.041,-415.42,-1627.24,1.58601,0.0100955,-1.44414
352.936,-415.648,-1627.12,1.58607,0.0103556,-1.44429
352.904,-416.277,-1627.09,1.58602,0.0103786,-1.44429
352.505,-416.792,-1627.52,1.58608,0.00993307,-1.44431
352.521,-417.41,-1627.51,1.58631,0.00956281,-1.44451
352.374,-418.166,-1627.44,1.58588,0.0109047,-1.44427
352.267,-418.964,-1627.43,1.58593,0.0106736,-1.44419
352.215,-419.618,-1627.45,1.58652,0.0101365,-1.44448
352.524,-420.277,-1627.59,1.58639,0.00946392,-1.4446
352.647,-420.843,-1627.56,1.58599,0.0113269,-1.44438
352.722,-421.568,-1627.55,1.58624,0.0116333,-1.4447
352.664,-422.283,-1627.85,1.58631,0.0110655,-1.44462
352.9,-423.141,-1627.93,1.58649,0.0107453,-1.44486
352.866,-423.839,-1627.92,1.58628,0.0105656,-1.4445
352.859,-424.396,-1627.92,1.58634,0.0104457,-1.44482
352.832,-425.178,-1628.08,1.58614,0.0112526,-1.44456
352.667,-425.984,-1628.1,1.58615,0.0112313,-1.44467
352.654,-426.816,-1628.05,1.58586,0.0108978,-1.44423
352.552,-427.276,-1627.95,1.58635,0.00949518,-1.44459
352.596,-427.866,-1627.95,1.58627,0.0103868,-1.44459
352.428,-428.511,-1628.1,1.58622,0.0111451,-1.44458
352.384,-429.185,-1628.14,1.58622,0.0108413,-1.44445
352.519,-429.889,-1628.16,1.58617,0.0104154,-1.44418
352.428,-430.59,-1628.15,1.58587,0.0108636,-1.44424
352.413,-431.258,-1628.2,1.58608,0.0107487,-1.44388
352.795,-432.021,-1628.09,1.58634,0.0107353,-1.44427
352.756,-433.916,-1628.07,1.5864,0.0108836,-1.44421
352.607,-434.828,-1628.03,1.58621,0.0101077,-1.4442
352.612,-435.064,-1627.92,1.5862,0.0102972,-1.44418
352.774,-436.94,-1627.93,1.58633,0.00973068,-1.44419
352.661,-438.695,-1627.8,1.58614,0.0110306,-1.44435
352.62,-438.989,-1628.01,1.58624,0.00989664,-1.44424
352.51,-441.07,-1628.03,1.58622,0.0100692,-1.4441
352.829,-441.67,-1628,1.58631,0.00986157,-1.44452
352.803,-442.338,-1628.22,1.58628,0.0102487,-1.4442
352.774,-444.08,-1628.18,1.58614,0.0108457,-1.4442
352.809,-444.349,-1627.92,1.58628,0.00910694,-1.44408
352.763,-445.292,-1627.92,1.58663,0.00931649,-1.44424
352.814,-446.709,-1627.6,1.58619,0.0104542,-1.44408
352.64,-447.105,-1627.8,1.58638,0.00976121,-1.44439
352.614,-448.114,-1627.51,1.58639,0.00989774,-1.44453
352.461,-449.178,-1627.54,1.58642,0.00999663,-1.44431
352.424,-449.982,-1627.21,1.58653,0.00913976,-1.44397
352.315,-452.366,-1626.81,1.58669,0.00964551,-1.44412
352.278,-452.7,-1626.81,1.58674,0.00965352,-1.44439
352.181,-454.022,-1627.01,1.58669,0.00984362,-1.44457
352.425,-456.242,-1626.74,1.58636,0.0103631,-1.44418
352.549,-457.941,-1626.41,1.58672,0.00879635,-1.44453
352.55,-458.182,-1626.38,1.58672,0.00872098,-1.44457
352.671,-458.321,-1626.42,1.58655,0.010036,-1.44427
352.794,-459.066,-1626.79,1.58651,0.0103551,-1.44409
352.843,-459.803,-1626.77,1.5866,0.00983442,-1.44425
352.854,-460.526,-1626.61,1.58652,0.00959959,-1.44393
352.889,-461.221,-1626.6,1.58665,0.00966827,-1.44442
352.866,-461.807,-1626.51,1.58655,0.00951922,-1.44367
352.888,-462.376,-1626.4,1.58669,0.00970771,-1.44464
352.95,-463.054,-1626.32,1.58668,0.0104298,-1.44376
353.015,-464.269,-1626.18,1.58663,0.010251,-1.44487
352.583,-465.297,-1626.28,1.58638,0.0089552,-1.44425
352.507,-465.436,-1626.25,1.58673,0.00861772,-1.44458
352.748,-466.019,-1626.31,1.58635,0.0102183,-1.44438
352.576,-466.679,-1626.58,1.58632,0.00960312,-1.44422
352.485,-468.175,-1626.29,1.58634,0.00984415,-1.4442
352.431,-470.369,-1626.36,1.58639,0.0100447,-1.44404
352.393,-471.114,-1626.31,1.58637,0.0101639,-1.44396
352.336,-471.333,-1626.31,1.58645,0.0105175,-1.4446
352.391,-473.629,-1626.18,1.58668,0.00928724,-1.44433
352.403,-473.88,-1626.24,1.58646,0.00941479,-1.44392
352.393,-474.215,-1626.4,1.5866,0.00962688,-1.44456
352.406,-474.937,-1626.4,1.58659,0.00896206,-1.44393
352.484,-475.626,-1626.32,1.58652,0.00876161,-1.44449
