x,y,z,A,B,C,T,delta_ms
987.99,-197.547,577.895,-3.12901,0.0232855,-2.61105,1749200675975,4
988.008,-197.591,577.883,-3.12916,0.0233119,-2.61109,1749200675979,4
988.027,-197.634,577.872,-3.12929,0.0233425,-2.61112,1749200675983,4
988.047,-197.674,577.86,-3.12943,0.0233818,-2.61114,1749200675987,4
988.07,-197.714,577.849,-3.12955,0.0234295,-2.61116,1749200675991,4
988.094,-197.752,577.838,-3.12967,0.0234857,-2.61118,1749200675995,4
988.12,-197.79,577.829,-3.12978,0.023547,-2.61119,1749200675999,4
988.144,-197.83,577.824,-3.12988,0.0236146,-2.6112,1749200676003,4
988.168,-197.87,577.822,-3.12996,0.0236893,-2.61121,1749200676007,4
988.194,-197.908,577.822,-3.13003,0.0237681,-2.61121,1749200676011,4
988.221,-197.943,577.822,-3.13009,0.0238472,-2.61121,1749200676015,4
988.247,-197.976,577.824,-3.13014,0.0239241,-2.61122,1749200676019,4
988.27,-198.01,577.826,-3.13017,0.0240022,-2.61123,1749200676023,4
988.291,-198.044,577.83,-3.1302,0.0240757,-2.61124,1749200676027,4
988.311,-198.077,577.834,-3.13022,0.0241464,-2.61125,1749200676031,4
988.334,-198.109,577.84,-3.13022,0.0242182,-2.61126,1749200676035,4
988.357,-198.139,577.847,-3.13022,0.0242923,-2.61126,1749200676039,4
988.381,-198.164,577.851,-3.1302,0.0243571,-2.61126,1749200676043,4
988.405,-198.181,577.85,-3.13018,0.024408,-2.61127,1749200676047,4
988.428,-198.193,577.848,-3.13014,0.024444,-2.61128,1749200676051,4
988.448,-198.204,577.844,-3.1301,0.0244645,-2.6113,1749200676055,4
988.467,-198.211,577.835,-3.13007,0.0244749,-2.61132,1749200676059,4
988.486,-198.213,577.821,-3.13003,0.0244756,-2.61134,1749200676063,4
988.502,-198.212,577.805,-3.12999,0.0244557,-2.61137,1749200676067,4
988.512,-198.207,577.789,-3.12994,0.0244088,-2.61141,1749200676071,4
988.519,-198.202,577.775,-3.12989,0.0243415,-2.61145,1749200676075,4
988.522,-198.199,577.765,-3.12983,0.02426,-2.6115,1749200676079,4
988.525,-198.195,577.755,-3.12978,0.0241664,-2.61156,1749200676083,4
988.528,-198.189,577.741,-3.12974,0.0240647,-2.61161,1749200676087,4
