x,y,z,A,B,C,T,delta_ms
989.109,-196.302,577.342,-3.12553,0.0247083,-2.61358,1749200676282,9
988.871,-195.944,577.473,-3.12496,0.0236393,-2.61399,1749200676305,23
988.699,-195.656,577.541,-3.12496,0.0230817,-2.61367,1749200676310,5
988.634,-195.409,577.372,-3.12479,0.0230888,-2.61318,1749200676322,12
988.518,-194.89,577.468,-3.12436,0.0230794,-2.61248,1749200676333,11
988.492,-194.808,577.494,-3.12441,0.0230773,-2.6122,1749200676341,8
988.554,-194.566,577.524,-3.12432,0.0233055,-2.61193,1749200676348,7
988.516,-194.24,577.649,-3.1243,0.023442,-2.61175,1749200676356,8
988.562,-193.867,577.662,-3.12429,0.0234304,-2.61166,1749200676365,9
988.557,-193.524,577.832,-3.12441,0.0237957,-2.61144,1749200676372,7
988.473,-193.186,577.883,-3.12438,0.0241378,-2.61118,1749200676382,10
988.412,-192.859,578.026,-3.12447,0.0241507,-2.61098,1749200676389,7
988.371,-192.453,578.199,-3.12459,0.024272,-2.61089,1749200676398,9
988.38,-191.985,578.259,-3.12474,0.0243302,-2.61082,1749200676407,9
988.284,-191.552,578.451,-3.12488,0.0241405,-2.61083,1749200676414,7
988.037,-191.368,578.885,-3.12512,0.0239351,-2.61049,1749200676422,8
987.877,-190.918,579.151,-3.12543,0.0234614,-2.60998,1749200676431,9
987.761,-190.496,579.371,-3.12563,0.0231872,-2.60962,1749200676439,8
987.386,-190.126,579.689,-3.1258,0.0224748,-2.6089,1749200676448,9
987.22,-189.589,579.93,-3.12583,0.0220586,-2.60819,1749200676457,9
987.001,-188.989,579.905,-3.12584,0.0216725,-2.6075,1749200676465,8
986.86,-188.311,580.112,-3.12563,0.0214494,-2.60611,1749200676473,8
986.788,-187.559,580.176,-3.12526,0.0213741,-2.60528,1749200676481,8
986.716,-186.757,580.376,-3.12465,0.0214603,-2.60437,1749200676489,8
986.659,-185.984,580.651,-3.12409,0.0214214,-2.6037,1749200676498,9
986.602,-185.102,580.887,-3.12355,0.0215828,-2.60307,1749200676506,8
986.515,-184.373,581.24,-3.12369,0.0216178,-2.60237,1749200676515,9
986.397,-183.505,581.504,-3.12376,0.0215703,-2.60183,1749200676523,8
986.303,-182.627,581.786,-3.12396,0.0215913,-2.60086,1749200676532,9
986.149,-181.674,581.78,-3.12438,0.0214455,-2.59997,1749200676539,7
986.01,-180.74,582.035,-3.12466,0.0212656,-2.59876,1749200676548,9
985.892,-179.862,582.27,-3.1249,0.0211579,-2.59777,1749200676556,8
985.818,-178.664,582.588,-3.12482,0.0208575,-2.59658,1749200676566,10
985.704,-177.538,582.784,-3.12479,0.0206137,-2.59531,1749200676574,8
985.476,-176.44,582.922,-3.12435,0.0205182,-2.59428,1749200676582,8
985.224,-173.863,583.356,-3.12418,0.0201562,-2.59158,1749200676601,19
985.153,-172.955,583.466,-3.12423,0.0200599,-2.59069,1749200676607,6
985.043,-171.744,583.633,-3.12435,0.0198916,-2.58916,1749200676615,8
984.848,-170.642,583.678,-3.1246,0.0198259,-2.58806,1749200676623,8
984.691,-169.272,583.852,-3.12486,0.0195337,-2.58647,1749200676632,9
984.562,-167.99,583.963,-3.12488,0.0196046,-2.58519,1749200676640,8
984.448,-166.541,584.081,-3.12455,0.0194318,-2.58365,1749200676648,8
984.431,-165.025,584.375,-3.12372,0.0192739,-2.58229,1749200676656,8
984.376,-163.393,584.51,-3.12303,0.019249,-2.58077,1749200676665,9
984.343,-161.64,584.598,-3.12155,0.0192471,-2.57968,1749200676672,7
984.295,-159.958,584.705,-3.12079,0.0192246,-2.57855,1749200676681,9
984.274,-158.222,584.831,-3.11997,0.0193657,-2.57718,1749200676689,8
984.316,-156.228,584.65,-3.11967,0.0196207,-2.57571,1749200676698,9
984.264,-154.715,584.739,-3.11938,0.0197024,-2.57414,1749200676706,8
984.227,-152.976,584.839,-3.1193,0.0198919,-2.57221,1749200676715,9
984.317,-151.3,585.017,-3.11904,0.0199073,-2.57018,1749200676722,7
984.302,-149.425,584.966,-3.11843,0.0203421,-2.56874,1749200676731,9
984.249,-145.937,585.133,-3.1173,0.0206269,-2.56574,1749200676746,15
984.208,-144.761,585.18,-3.11679,0.0205565,-2.56487,1749200676752,6
984.212,-143.561,585.239,-3.11609,0.0205892,-2.56417,1749200676757,5
984.18,-142.16,585.645,-3.11549,0.0206302,-2.56264,1749200676765,8
984.226,-140.583,585.739,-3.11489,0.0209132,-2.56109,1749200676773,8
984.209,-138.859,586.016,-3.1143,0.0211637,-2.55933,1749200676781,8
984.264,-136.956,586.115,-3.11353,0.0214408,-2.55741,1749200676789,8
984.306,-134.971,586.217,-3.11281,0.0216727,-2.55548,1749200676798,9
984.346,-133.11,585.97,-3.11237,0.0220534,-2.55401,1749200676806,8
984.367,-131.187,586.028,-3.11185,0.0221401,-2.55245,1749200676815,9
984.345,-129.487,586.27,-3.11144,0.022075,-2.55092,1749200676823,8
984.353,-127.494,586.344,-3.1111,0.0220347,-2.54936,1749200676831,8
984.346,-125.119,586.442,-3.11033,0.0221089,-2.54706,1749200676839,8
984.202,-122.531,586.739,-3.10909,0.0223759,-2.54443,1749200676852,13
984.279,-117.745,586.909,-3.10678,0.022622,-2.53998,1749200676867,15
984.082,-116.099,587.121,-3.10545,0.0228023,-2.53775,1749200676877,10
984.166,-114.148,587.188,-3.10423,0.0231156,-2.53559,1749200676891,14
984.303,-112.423,587.206,-3.10322,0.0235369,-2.53389,1749200676898,7
984.387,-108.36,587.6,-3.10147,0.02446,-2.52946,1749200676915,17
984.581,-104.671,587.847,-3.10027,0.025198,-2.52548,1749200676931,16
984.614,-103.487,588.049,-3.10013,0.0255201,-2.5241,1749200676939,8
984.731,-101.564,588.168,-3.09962,0.0257272,-2.52223,1749200676948,9
984.592,-99.1724,588.647,-3.0988,0.0262538,-2.51935,1749200676960,12
984.551,-98.4965,588.669,-3.09858,0.0259436,-2.51871,1749200676964,4
984.579,-97.0598,588.709,-3.09808,0.0256908,-2.51787,1749200676973,9
984.689,-95.3419,588.626,-3.09726,0.0254366,-2.51655,1749200676982,9
984.751,-93.8707,588.689,-3.09665,0.025522,-2.51552,1749200676989,7
984.968,-91.8814,588.22,-3.09631,0.0262543,-2.51411,1749200676998,9
985.109,-90.3608,588.271,-3.09589,0.0268075,-2.51222,1749200677006,8
985.242,-88.4978,588.335,-3.09526,0.0272617,-2.51017,1749200677016,10
985.555,-87.1349,588.136,-3.09511,0.0278281,-2.50861,1749200677023,7
985.588,-85.7375,588.2,-3.09457,0.0279086,-2.50703,1749200677031,8
985.776,-84.5048,588.528,-3.09419,0.0277151,-2.50576,1749200677039,8
985.773,-83.1376,588.613,-3.09362,0.0274854,-2.50431,1749200677048,9
985.752,-81.8863,588.839,-3.09306,0.0271646,-2.50288,1749200677056,8
985.731,-80.4968,588.95,-3.09256,0.0269113,-2.5014,1749200677065,9
985.731,-79.3346,589.058,-3.0923,0.0268301,-2.50025,1749200677074,9
985.682,-78.0375,589.179,-3.09218,0.0264604,-2.49871,1749200677082,8
985.661,-77.2435,589.283,-3.09249,0.0264343,-2.49733,1749200677090,8
985.587,-76.0957,589.349,-3.09236,0.0261822,-2.49566,1749200677099,9
985.583,-75.2805,589.457,-3.09271,0.0261858,-2.494,1749200677107,8
985.549,-74.4201,589.584,-3.09284,0.0260103,-2.49239,1749200677115,8
985.529,-73.5479,589.642,-3.09272,0.0257032,-2.491,1749200677123,8
985.42,-72.7538,589.791,-3.0926,0.0250988,-2.49033,1749200677132,9
985.284,-71.8344,589.515,-3.09268,0.0249622,-2.4901,1749200677140,8
985.15,-71.1156,589.649,-3.09262,0.0244193,-2.48956,1749200677148,8
985.101,-70.4753,589.901,-3.09253,0.0237564,-2.48883,1749200677156,8
984.996,-69.8544,590.029,-3.09256,0.0233436,-2.48818,1749200677165,9
984.901,-69.2752,590.157,-3.09236,0.0230885,-2.48755,1749200677172,7
984.834,-68.7161,590.336,-3.09235,0.0227824,-2.48653,1749200677181,9
984.719,-68.2175,590.454,-3.09221,0.022473,-2.48573,1749200677189,8
984.463,-67.8185,590.712,-3.09205,0.021924,-2.48487,1749200677198,9
984.346,-67.4742,590.858,-3.09195,0.0214893,-2.484,1749200677206,8
984.205,-67.017,591.01,-3.09181,0.0209876,-2.48326,1749200677214,8
984.021,-66.8014,591.145,-3.09189,0.0202431,-2.48298,1749200677222,8
983.84,-66.5211,591.286,-3.0921,0.0194723,-2.48261,1749200677231,9
983.747,-66.0872,591.265,-3.09217,0.0186655,-2.4822,1749200677239,8
983.639,-65.8722,591.372,-3.09235,0.0182435,-2.48202,1749200677248,9
983.527,-65.6287,591.484,-3.0924,0.0178551,-2.48191,1749200677256,8
983.462,-65.1844,591.089,-3.09239,0.0182014,-2.48192,1749200677265,9
983.446,-64.9525,591.15,-3.09204,0.0183913,-2.48157,1749200677273,8
983.785,-64.4,590.93,-3.09195,0.0189716,-2.48115,1749200677281,8
983.896,-64.1832,590.976,-3.09125,0.019579,-2.48059,1749200677289,8
984.087,-63.7499,590.959,-3.09094,0.0197457,-2.48043,1749200677299,10
984.116,-63.6165,591.015,-3.09058,0.0198526,-2.48043,1749200677306,7
984.075,-63.4833,591.096,-3.09028,0.0195841,-2.48042,1749200677315,9
984.24,-63.265,591.041,-3.09078,0.0190297,-2.48068,1749200677323,8
984.09,-63.409,591.127,-3.09134,0.0182661,-2.48083,1749200677332,9
984.125,-63.4681,591.594,-3.0916,0.017883,-2.48099,1749200677339,7
984.12,-63.5766,591.704,-3.09199,0.0177312,-2.48095,1749200677348,9
984.148,-63.8664,591.898,-3.09188,0.0177552,-2.48075,1749200677356,8
984.181,-63.9295,591.999,-3.09193,0.0177014,-2.48077,1749200677365,9
984.329,-63.9452,592.084,-3.09139,0.0178847,-2.48108,1749200677372,7
984.255,-64.2062,592.223,-3.09069,0.0176438,-2.48144,1749200677381,9
984.284,-64.263,592.312,-3.09008,0.0172343,-2.48225,1749200677389,8
984.238,-64.4393,592.394,-3.08957,0.0168831,-2.48275,1749200677397,8
984.281,-64.5635,592.472,-3.08926,0.0167142,-2.48338,1749200677407,10
984.321,-64.717,592.569,-3.08885,0.0166369,-2.48415,1749200677414,7
984.096,-65.102,592.552,-3.0889,0.0173533,-2.48503,1749200677423,9
