x,y,z,A,B,C,T,delta_ms
340.13,-598.467,-1217.73,1.60468,0.0409074,-0.189317,1749200675691,0
340.158,-598.483,-1217.75,1.60483,0.0404267,-0.189759,1749200675699,8
340.156,-598.531,-1217.78,1.60493,0.0401703,-0.189999,1749200675707,8
340.23,-598.533,-1217.82,1.60482,0.039205,-0.190578,1749200675715,8
340.349,-598.452,-1217.82,1.60485,0.0384172,-0.19074,1749200675723,8
340.392,-598.442,-1217.87,1.60495,0.0376251,-0.191021,1749200675733,10
340.411,-598.433,-1217.91,1.60517,0.0372399,-0.190982,1749200675740,7
340.297,-598.318,-1217.85,1.60542,0.0372848,-0.190573,1749200675749,9
340.251,-598.297,-1217.86,1.60574,0.0378744,-0.189882,1749200675756,7
340.082,-598.265,-1217.75,1.60594,0.0380833,-0.189567,1749200675764,8
340.044,-598.21,-1217.75,1.60637,0.038913,-0.189169,1749200675773,9
340.05,-598.178,-1217.83,1.60646,0.0394801,-0.189027,1749200675781,8
340.035,-598.071,-1217.66,1.60655,0.0398919,-0.189149,1749200675789,8
340.047,-598.003,-1217.71,1.6064,0.0402471,-0.189215,1749200675798,9
340.068,-597.925,-1217.62,1.60603,0.0402893,-0.189443,1749200675806,8
340.08,-597.861,-1217.69,1.60554,0.0404577,-0.189544,1749200675814,8
340.062,-597.843,-1217.71,1.60497,0.0406729,-0.189439,1749200675822,8
340.078,-597.825,-1217.77,1.60421,0.0408606,-0.189311,1749200675831,9
340.087,-597.801,-1217.82,1.60371,0.0410191,-0.189101,1749200675839,8
340.036,-597.848,-1217.77,1.60314,0.041155,-0.188673,1749200675849,10
340.061,-597.882,-1217.77,1.60279,0.0410377,-0.188068,1749200675857,8
340.053,-598.066,-1217.81,1.60243,0.0412512,-0.187832,1749200675865,8
340.102,-598.084,-1217.81,1.60204,0.0410126,-0.187642,1749200675873,8
340.136,-598.099,-1217.82,1.60155,0.0407698,-0.187493,1749200675881,8
340.234,-598.124,-1217.9,1.60105,0.040625,-0.187425,1749200675889,8
340.292,-598.135,-1217.91,1.60069,0.0404221,-0.187524,1749200675898,9
340.365,-598.103,-1217.83,1.60052,0.040425,-0.187903,1749200675906,8
340.397,-598.115,-1217.83,1.6003,0.0404774,-0.188022,1749200675915,9
340.385,-598.122,-1217.88,1.59996,0.0407205,-0.188123,1749200675923,8
340.364,-598.144,-1217.87,1.59953,0.0409147,-0.188055,1749200675932,9
340.349,-598.171,-1217.83,1.59916,0.0412504,-0.187881,1749200675939,7
340.391,-598.222,-1217.93,1.5988,0.0414576,-0.187821,1749200675948,9
340.401,-598.241,-1217.91,1.59843,0.0415498,-0.187804,1749200675956,8
340.436,-598.328,-1217.95,1.59805,0.0416327,-0.188079,1749200675965,9
340.476,-598.335,-1217.91,1.59787,0.0417203,-0.188156,1749200675973,8
340.597,-598.264,-1217.8,1.59812,0.0417242,-0.188372,1749200675982,9
340.62,-598.268,-1217.77,1.59818,0.0420352,-0.188417,1749200675990,8
340.641,-598.27,-1217.74,1.59837,0.0423276,-0.188342,1749200675998,8
340.567,-598.127,-1217.55,1.59858,0.0426731,-0.188239,1749200676006,8
340.593,-598.117,-1217.5,1.59869,0.04293,-0.188061,1749200676016,10
340.546,-598.14,-1217.43,1.5987,0.0430509,-0.188055,1749200676023,7
340.613,-598.141,-1217.37,1.59875,0.0429262,-0.188019,1749200676032,9
340.669,-598.137,-1217.33,1.59882,0.0429808,-0.187971,1749200676040,8
340.808,-598.406,-1217.58,1.59878,0.0424203,-0.188298,1749200676048,8
340.919,-598.424,-1217.57,1.5988,0.0418219,-0.188587,1749200676056,8
341.067,-598.596,-1217.72,1.59878,0.0415247,-0.188811,1749200676065,9
341.151,-598.618,-1217.76,1.59898,0.0406777,-0.189303,1749200676073,8
341.202,-598.406,-1217.6,1.59899,0.0404501,-0.189322,1749200676081,8
341.203,-598.411,-1217.64,1.59883,0.0405185,-0.189344,1749200676089,8
341.17,-598.419,-1217.66,1.59874,0.0410233,-0.18918,1749200676098,9
341.051,-598.408,-1217.69,1.59877,0.0420277,-0.188776,1749200676106,8
341.016,-598.413,-1217.72,1.59876,0.0425579,-0.188611,1749200676115,9
340.961,-598.491,-1217.7,1.59876,0.0433975,-0.188664,1749200676122,7
340.953,-598.523,-1217.74,1.59893,0.0436937,-0.188704,1749200676131,9
340.949,-598.554,-1217.78,1.59903,0.0439643,-0.18878,1749200676139,8
341.039,-598.526,-1217.68,1.59916,0.0434394,-0.188992,1749200676148,9
341.085,-598.579,-1217.69,1.59922,0.043017,-0.188978,1749200676156,8
341.139,-598.618,-1217.7,1.59926,0.042617,-0.188986,1749200676165,9
341.202,-598.674,-1217.65,1.59953,0.041784,-0.18867,1749200676173,8
341.296,-598.788,-1217.66,1.59975,0.0410925,-0.188584,1749200676188,15
341.37,-598.872,-1217.66,1.60004,0.0406569,-0.188619,1749200676193,5
341.404,-598.919,-1217.68,1.60057,0.0403558,-0.188959,1749200676199,6
