x,y,z,A,B,C
395.565,-369.521,-1620.95,3.05274,-1.40292,3.03324
395.597,-369.534,-1620.94,3.05273,-1.40291,3.03316
395.611,-369.56,-1620.93,3.05251,-1.40294,3.03297
395.633,-369.569,-1620.93,3.05267,-1.40293,3.03303
395.628,-369.578,-1620.94,3.05307,-1.40291,3.03347
395.651,-369.602,-1620.94,3.05243,-1.40292,3.03297
395.68,-369.61,-1620.94,3.05255,-1.40295,3.03299
395.693,-369.628,-1620.93,3.05248,-1.4029,3.03297
395.424,-369.425,-1620.97,3.05232,-1.40288,3.0328
395.434,-369.428,-1620.97,3.05241,-1.40291,3.03296
395.42,-369.429,-1620.98,3.05175,-1.40288,3.03237
395.442,-369.426,-1620.97,3.0518,-1.40288,3.03234
395.457,-369.426,-1620.97,3.05196,-1.40281,3.03241
395.496,-369.429,-1620.98,3.05255,-1.40288,3.0331
395.479,-369.422,-1620.98,3.05293,-1.40282,3.03352
395.517,-369.416,-1620.97,3.05275,-1.40289,3.03327
395.51,-369.414,-1621.06,3.05158,-1.40281,3.03198
395.505,-369.411,-1621.06,3.05179,-1.40284,3.03225
395.525,-369.41,-1621.06,3.05183,-1.40281,3.03224
395.524,-369.389,-1621.07,3.05242,-1.40274,3.03279
395.55,-369.397,-1621.06,3.05175,-1.40278,3.03222
395.55,-369.388,-1621.07,3.05209,-1.4028,3.03258
395.566,-369.391,-1621.07,3.05213,-1.40281,3.03263
395.587,-369.388,-1621.06,3.05178,-1.40285,3.0323
395.595,-369.386,-1621.07,3.05176,-1.40279,3.03222
395.459,-369.435,-1621,3.05104,-1.4028,3.0315
395.465,-369.457,-1621,3.05113,-1.40281,3.03161
395.484,-369.464,-1621,3.05103,-1.4028,3.03159
395.49,-369.463,-1621,3.05106,-1.40282,3.03156
395.509,-369.465,-1620.97,3.05103,-1.40278,3.03156
395.53,-369.467,-1620.98,3.05085,-1.40283,3.03145
395.532,-369.47,-1621,3.0515,-1.40276,3.032
395.556,-369.458,-1620.99,3.05104,-1.40275,3.03154
395.571,-369.463,-1620.99,3.05147,-1.40277,3.03201
395.581,-369.462,-1621,3.05114,-1.40279,3.03165
395.593,-369.466,-1621.02,3.05094,-1.40282,3.03153
395.599,-369.479,-1621.03,3.05152,-1.40277,3.03214
395.637,-369.483,-1621.03,3.05125,-1.40277,3.03174
395.645,-369.491,-1621.03,3.05161,-1.40272,3.03208
395.661,-369.506,-1621.04,3.0517,-1.40277,3.03222
395.497,-369.461,-1621.1,3.05007,-1.40278,3.03069
395.502,-369.465,-1621.1,3.04991,-1.40273,3.03055
395.533,-369.48,-1621.1,3.04976,-1.40273,3.03045
395.536,-369.477,-1621.11,3.04975,-1.40272,3.03037
395.518,-369.477,-1621.26,3.04984,-1.40274,3.03044
395.521,-369.487,-1621.28,3.05013,-1.40275,3.03081
395.517,-369.489,-1621.3,3.04976,-1.40272,3.03037
395.53,-369.497,-1621.32,3.04949,-1.40278,3.0302
395.542,-369.505,-1621.34,3.04992,-1.4028,3.03055
395.559,-369.511,-1621.35,3.04962,-1.40276,3.03034
395.555,-369.514,-1621.37,3.04988,-1.40273,3.03057
395.588,-369.53,-1621.39,3.04986,-1.40276,3.03052
395.605,-369.536,-1621.43,3.05068,-1.40268,3.03135
395.622,-369.537,-1621.43,3.04967,-1.40271,3.0303
395.606,-369.54,-1621.44,3.04882,-1.40272,3.0295
395.599,-369.54,-1621.47,3.04975,-1.40275,3.03038
395.613,-369.56,-1621.49,3.04954,-1.40275,3.03017
395.583,-369.628,-1621.5,3.04839,-1.4028,3.02901
395.421,-369.794,-1621.6,3.04958,-1.40265,3.03033
395.383,-369.894,-1621.61,3.05163,-1.40279,3.03231
395.322,-369.884,-1620.92,3.05208,-1.40277,3.03269
395.328,-370.045,-1620.89,3.0513,-1.40271,3.03194
395.418,-370.221,-1620.93,3.05418,-1.40265,3.03466
395.469,-370.314,-1620.9,3.04862,-1.40276,3.0292
395.491,-370.412,-1620.94,3.04705,-1.40244,3.02761
395.514,-370.789,-1620.66,3.04817,-1.40272,3.02873
395.59,-371.2,-1620.67,3.05322,-1.40251,3.03389
395.471,-371.323,-1620.32,3.05098,-1.4027,3.03151
395.504,-371.644,-1620.33,3.04959,-1.40273,3.03016
395.469,-371.903,-1620.53,3.05114,-1.40258,3.03187
395.494,-372.264,-1620.51,3.05201,-1.40245,3.03269
395.4,-372.61,-1620.65,3.0491,-1.40258,3.02992
395.403,-373.009,-1620.65,3.05122,-1.40247,3.03204
395.396,-373.375,-1620.64,3.05172,-1.40249,3.03248
395.369,-373.777,-1620.63,3.04868,-1.40249,3.02952
395.364,-374.126,-1620.74,3.04844,-1.40254,3.02934
395.363,-374.688,-1620.73,3.05119,-1.40242,3.03205
395.385,-375.253,-1620.7,3.05199,-1.40247,3.03282
395.414,-375.803,-1620.71,3.05104,-1.40238,3.03193
395.445,-376.413,-1620.68,3.05062,-1.40232,3.03147
395.5,-377.039,-1620.66,3.05032,-1.4025,3.03121
395.365,-377.298,-1620.55,3.05181,-1.40259,3.03258
395.373,-377.879,-1620.56,3.05078,-1.40266,3.03163
395.381,-378.455,-1620.54,3.04996,-1.40235,3.0308
395.318,-379.073,-1620.28,3.04917,-1.40274,3.0299
395.438,-379.718,-1620.22,3.0513,-1.40235,3.03193
395.308,-380.243,-1620.01,3.05101,-1.40291,3.03165
395.342,-380.919,-1619.97,3.04968,-1.40236,3.03034
395.451,-381.664,-1620.22,3.05002,-1.40294,3.03077
395.487,-382.416,-1620.18,3.05311,-1.40219,3.0339
395.52,-383.083,-1620.17,3.05181,-1.40291,3.03261
395.115,-385.511,-1620.28,3.05561,-1.40187,3.03673
395.094,-385.713,-1620.28,3.05479,-1.40264,3.03553
395.249,-386.176,-1620.04,3.05005,-1.402,3.03125
395.281,-386.91,-1620.01,3.0536,-1.40249,3.03454
395.25,-387.57,-1620.01,3.05271,-1.40259,3.03372
395.3,-388.13,-1620.09,3.04756,-1.40217,3.02876
395.364,-388.862,-1620.03,3.05008,-1.40249,3.03127
395.365,-389.466,-1620.21,3.0526,-1.40204,3.0337
395.354,-390.037,-1620.22,3.05257,-1.40261,3.03367
395.335,-390.554,-1620.31,3.04699,-1.40228,3.0278
395.462,-391.393,-1620.19,3.05045,-1.40254,3.03154
395.493,-395.208,-1620.01,3.04992,-1.40245,3.03098
395.693,-396.343,-1619.96,3.0514,-1.40225,3.03226
395.756,-396.584,-1619.97,3.04969,-1.4022,3.03071
395.746,-397.031,-1619.9,3.04979,-1.40243,3.03086
395.663,-397.758,-1619.87,3.04797,-1.40242,3.0289
395.647,-398.367,-1619.84,3.05126,-1.40237,3.03215
395.672,-398.922,-1619.88,3.04703,-1.40254,3.02801
395.695,-399.831,-1620.21,3.0448,-1.40232,3.02595
395.686,-400.545,-1620.18,3.044,-1.40259,3.02506
395.518,-401.294,-1620.15,3.04967,-1.40245,3.03077
395.513,-402.066,-1620.14,3.05313,-1.40249,3.03412
395.311,-402.672,-1619.89,3.05224,-1.4026,3.03311
395.271,-403.291,-1619.87,3.05008,-1.40248,3.03118
395.228,-403.98,-1619.85,3.05126,-1.40237,3.03229
395.082,-404.563,-1619.78,3.05072,-1.40234,3.03171
395.09,-407.593,-1619.78,3.05066,-1.4027,3.03141
395.159,-407.83,-1619.8,3.05177,-1.40235,3.03284
395.046,-408.392,-1619.82,3.05093,-1.40243,3.03202
395.373,-409.236,-1619.87,3.04941,-1.40253,3.03053
395.235,-409.952,-1619.84,3.05248,-1.4027,3.03336
395.253,-410.63,-1619.52,3.05293,-1.40259,3.03373
395.168,-411.327,-1619.48,3.05522,-1.40269,3.03597
395.131,-412.031,-1619.43,3.05317,-1.40258,3.03411
395.183,-412.759,-1619.28,3.05285,-1.40265,3.03386
395.123,-413.38,-1619.27,3.05711,-1.40232,3.03815
395.16,-413.907,-1619.22,3.05793,-1.40238,3.03911
395.146,-414.553,-1619.2,3.05301,-1.40208,3.03431
395.196,-415.415,-1618.8,3.05617,-1.40272,3.037
395.208,-416.008,-1618.79,3.05835,-1.40268,3.03929
395.576,-416.619,-1618.86,3.05393,-1.40238,3.03504
395.723,-417.305,-1618.79,3.04974,-1.40246,3.03093
395.708,-418.09,-1618.72,3.05006,-1.40233,3.0313
395.706,-418.791,-1618.68,3.05275,-1.40279,3.03348
395.491,-419.341,-1618.78,3.05604,-1.4023,3.03718
395.598,-419.987,-1618.78,3.05381,-1.40236,3.03475
395.696,-420.828,-1619.17,3.05092,-1.40276,3.0319
395.72,-421.552,-1619.17,3.04992,-1.4026,3.03083
395.683,-422.169,-1619.06,3.05167,-1.40279,3.03267
395.72,-422.95,-1619.01,3.05647,-1.40247,3.03771
395.593,-423.551,-1619.34,3.0544,-1.40241,3.03565
395.632,-424.214,-1619.31,3.05183,-1.4026,3.0331
395.618,-424.839,-1619.03,3.05173,-1.40265,3.03281
395.665,-425.557,-1618.98,3.05239,-1.40258,3.03333
395.712,-426.224,-1618.96,3.04962,-1.403,3.03053
