x,y,z,A,B,C
141.177,-366.329,-1598.91,3.06308,-1.40543,3.03827
140.52,-366.353,-1598.78,3.06223,-1.40492,3.03741
139.829,-366.412,-1598.73,3.06313,-1.40544,3.03827
139.173,-366.342,-1598.81,3.06413,-1.40508,3.03932
138.506,-366.305,-1598.78,3.06118,-1.40532,3.03634
137.862,-366.383,-1598.79,3.05888,-1.4052,3.03429
137.085,-366.421,-1598.6,3.06228,-1.40526,3.03744
136.415,-366.419,-1598.57,3.06427,-1.40515,3.03954
135.687,-366.407,-1598.56,3.0613,-1.40533,3.03661
134.915,-366.387,-1598.57,3.06039,-1.40533,3.03574
134.234,-366.451,-1598.53,3.06283,-1.40525,3.03814
133.49,-366.497,-1598.73,3.06398,-1.40542,3.03933
132.805,-366.5,-1598.79,3.06208,-1.40542,3.03744
132.046,-366.571,-1598.67,3.06037,-1.40524,3.03597
131.44,-366.654,-1598.69,3.06443,-1.40534,3.03986
130.7,-366.652,-1598.67,3.06768,-1.40562,3.0429
130.151,-366.614,-1598.7,3.06394,-1.4051,3.03932
129.436,-366.657,-1598.67,3.05993,-1.40545,3.03531
128.755,-366.719,-1598.54,3.06262,-1.40536,3.03787
128.108,-366.722,-1598.5,3.06448,-1.40544,3.03963
127.437,-366.579,-1598.04,3.06274,-1.40526,3.03811
126.771,-366.501,-1597.7,3.06337,-1.4053,3.03845
123.663,-366.542,-1597.19,3.06263,-1.40554,3.03775
118.797,-366.581,-1596.54,3.0627,-1.40559,3.03776
118.324,-366.573,-1596.52,3.0617,-1.40563,3.03672
117.621,-366.561,-1596.53,3.06075,-1.40545,3.03597
116.939,-366.589,-1596.48,3.06052,-1.40572,3.03565
116.282,-366.643,-1596.42,3.06154,-1.40559,3.0367
115.495,-366.504,-1596.13,3.06359,-1.40563,3.0387
114.791,-366.486,-1596.06,3.06229,-1.40574,3.03732
114.098,-366.649,-1596.11,3.05922,-1.40569,3.03438
113.36,-366.621,-1595.98,3.06285,-1.40565,3.03794
112.667,-366.454,-1595.81,3.06651,-1.40554,3.0415
111.891,-366.437,-1595.74,3.06135,-1.40587,3.03638
111.238,-366.555,-1595.71,3.05989,-1.40537,3.0351
110.52,-366.741,-1595.5,3.06548,-1.40585,3.04053
109.895,-366.709,-1595.49,3.06677,-1.40574,3.04182
109.137,-366.607,-1595.34,3.06185,-1.40587,3.03697
108.522,-366.687,-1595.31,3.06104,-1.40598,3.03627
107.695,-366.554,-1594.71,3.06489,-1.40608,3.03994
107.068,-366.593,-1594.69,3.06796,-1.40569,3.04304
106.424,-366.567,-1594.57,3.06478,-1.40609,3.03984
105.75,-366.452,-1594.2,3.06182,-1.40587,3.03693
105.041,-366.435,-1594.1,3.06342,-1.40627,3.03849
104.351,-366.411,-1594.14,3.06399,-1.40602,3.03904
103.696,-366.478,-1594.08,3.06423,-1.40624,3.03928
103.015,-366.555,-1593.92,3.06339,-1.40604,3.03861
102.278,-366.622,-1593.85,3.0657,-1.40636,3.04083
101.635,-366.7,-1593.79,3.06418,-1.40581,3.0394
100.955,-366.698,-1593.79,3.06521,-1.40621,3.04051
100.305,-366.709,-1593.73,3.06636,-1.40591,3.04159
99.5946,-366.613,-1593.46,3.06595,-1.40647,3.04105
98.9718,-366.631,-1593.42,3.0661,-1.4059,3.04128
98.2908,-366.639,-1593.32,3.06535,-1.4064,3.0405
97.5892,-366.556,-1593.12,3.06425,-1.40603,3.03954
96.9477,-366.561,-1593.02,3.06572,-1.40662,3.04086
96.1234,-366.51,-1592.96,3.0644,-1.40608,3.0396
95.4269,-366.503,-1592.91,3.06332,-1.40637,3.03851
94.7372,-366.504,-1592.8,3.06291,-1.40587,3.03808
93.9995,-366.433,-1592.65,3.06411,-1.40655,3.03921
93.2777,-366.451,-1592.52,3.06248,-1.40627,3.0378
92.5495,-366.526,-1592.53,3.06534,-1.40633,3.04071
91.8515,-366.47,-1592.44,3.06701,-1.40629,3.04229
91.1459,-366.454,-1592.37,3.06541,-1.40635,3.04069
90.4117,-366.449,-1592.24,3.06354,-1.40649,3.03885
89.7177,-366.548,-1592.17,3.06598,-1.40622,3.04113
89.003,-366.53,-1592.02,3.06851,-1.40658,3.04371
88.3847,-366.445,-1591.97,3.06614,-1.40623,3.04134
87.7366,-366.374,-1591.71,3.06357,-1.40642,3.03883
87.0585,-366.399,-1591.63,3.06335,-1.40645,3.03854
86.3569,-366.475,-1591.52,3.0647,-1.40646,3.03973
85.7661,-366.481,-1591.42,3.06832,-1.40645,3.04356
85.0757,-366.463,-1591.29,3.06585,-1.4067,3.0411
84.3646,-366.488,-1591.21,3.06634,-1.40639,3.04155
83.6909,-366.491,-1591.05,3.06948,-1.40645,3.04492
82.9971,-366.528,-1591.18,3.0673,-1.40644,3.04265
78.9917,-366.513,-1590.82,3.06836,-1.40644,3.04366
78.0245,-366.377,-1590.78,3.06842,-1.40674,3.04359
77.3508,-366.3,-1590.83,3.06252,-1.40626,3.03773
77.0101,-366.398,-1590.77,3.06484,-1.4064,3.03991
76.1511,-366.418,-1590.59,3.06642,-1.4066,3.04158
75.5426,-366.365,-1590.34,3.06527,-1.40635,3.04036
72.9721,-366.324,-1590.06,3.06396,-1.40627,3.03901
72.5149,-366.43,-1590.05,3.06622,-1.40658,3.04142
72.0033,-366.4,-1589.98,3.06503,-1.40655,3.04016
71.4209,-366.411,-1590,3.06499,-1.40629,3.03994
70.7251,-366.366,-1589.9,3.06473,-1.40675,3.03983
70.0824,-366.362,-1589.89,3.0642,-1.40623,3.03913
69.4633,-366.505,-1589.71,3.06563,-1.40627,3.04058
68.828,-366.483,-1589.65,3.06683,-1.40658,3.04184
68.2527,-366.339,-1589.44,3.0637,-1.4066,3.03856
67.5774,-366.418,-1589.3,3.06234,-1.40676,3.03745
66.6748,-366.522,-1589,3.06529,-1.40682,3.04037
65.9747,-366.52,-1588.92,3.07064,-1.40639,3.04546
65.2679,-366.394,-1588.79,3.06785,-1.40705,3.04295
64.6585,-366.537,-1589.16,3.06163,-1.40661,3.0367
63.9123,-366.636,-1589.02,3.06568,-1.40688,3.04092
63.0954,-366.594,-1588.67,3.06968,-1.40696,3.04488
62.4779,-366.571,-1588.67,3.06693,-1.40675,3.04199
61.8318,-366.551,-1588.53,3.06843,-1.40684,3.0435
61.2515,-366.459,-1588.51,3.06776,-1.40702,3.04276
60.6138,-366.415,-1588.45,3.06346,-1.40653,3.03829
59.6319,-366.427,-1588,3.06244,-1.40739,3.03775
58.9366,-366.497,-1587.99,3.06723,-1.40675,3.04223
58.1578,-366.537,-1587.87,3.07034,-1.40725,3.04546
57.782,-366.457,-1588.44,3.06639,-1.40706,3.04143
57.191,-366.459,-1588.37,3.06257,-1.40691,3.03763
56.2854,-366.618,-1588.01,3.0661,-1.40738,3.04124
55.6235,-366.596,-1587.98,3.07029,-1.40694,3.04506
55.0605,-366.595,-1588.2,3.06761,-1.40714,3.04271
54.4418,-366.601,-1588.19,3.06281,-1.40731,3.03798
53.7699,-366.656,-1588.11,3.06286,-1.40688,3.03785
52.9278,-366.76,-1587.8,3.06842,-1.40702,3.04338
52.28,-366.668,-1587.75,3.06842,-1.40693,3.04343
51.682,-366.597,-1587.56,3.06434,-1.40684,3.03934
50.9794,-366.587,-1587.51,3.06194,-1.40714,3.0371
50.2821,-366.647,-1587.41,3.06178,-1.40703,3.03679
48.7398,-366.792,-1587.06,3.07157,-1.40691,3.04634
48.3486,-366.767,-1587.05,3.06871,-1.40685,3.04373
45.83,-366.844,-1586.73,3.06998,-1.4068,3.04499
44.9737,-366.859,-1586.63,3.07042,-1.40676,3.04544
44.5295,-366.762,-1586.57,3.07052,-1.40689,3.04552
44.0917,-366.733,-1586.53,3.06759,-1.40696,3.0426
43.4001,-366.725,-1586.44,3.06784,-1.40696,3.04285
42.8634,-366.886,-1586.43,3.07127,-1.40696,3.0461
42.1609,-366.846,-1586.27,3.0724,-1.40696,3.04728
41.571,-366.832,-1586.2,3.06914,-1.40678,3.04411
40.8448,-366.853,-1586.07,3.0699,-1.4068,3.04501
40.1347,-367.015,-1586.11,3.07218,-1.40681,3.04738
39.4222,-367.054,-1586.02,3.07289,-1.40699,3.04785
38.552,-366.967,-1585.88,3.07203,-1.40678,3.04718
38.0518,-366.882,-1585.85,3.0727,-1.40684,3.04767
37.3584,-366.733,-1585.7,3.06912,-1.40682,3.04414
36.6133,-366.854,-1585.71,3.06664,-1.40713,3.04161
35.9155,-367,-1585.89,3.07067,-1.40654,3.04576
35.2346,-366.968,-1585.78,3.07438,-1.40681,3.04939
34.6085,-366.829,-1585.72,3.07208,-1.40661,3.04708
33.9565,-366.935,-1585.68,3.06599,-1.40687,3.04108
33.2581,-367.055,-1585.58,3.06955,-1.40686,3.04466
32.5148,-367.01,-1585.4,3.07207,-1.40674,3.04698
31.815,-366.977,-1585.29,3.07183,-1.40691,3.04687
31.0946,-366.932,-1585.19,3.07107,-1.40693,3.04613
30.4002,-367.036,-1585.2,3.06962,-1.40698,3.04472
29.7457,-366.996,-1585.15,3.0691,-1.40707,3.04411
28.9662,-367.044,-1585.1,3.06809,-1.40652,3.04313
28.27,-367.085,-1584.95,3.07032,-1.40715,3.04523
27.5852,-367.029,-1584.81,3.07211,-1.40648,3.04706
26.9903,-366.942,-1584.76,3.06915,-1.4071,3.04397
26.3078,-366.921,-1584.65,3.06564,-1.40663,3.04073
25.6346,-367,-1584.59,3.0657,-1.4065,3.04096
25.0645,-367.258,-1584.7,3.0732,-1.40667,3.04802
24.4494,-367.241,-1584.63,3.07428,-1.40688,3.04915
23.6216,-367.123,-1584.68,3.06897,-1.40669,3.04398
22.9529,-367.068,-1584.61,3.06847,-1.40682,3.04338
22.1753,-367.04,-1584.54,3.06853,-1.40666,3.04342
21.4463,-367.004,-1584.44,3.06939,-1.4068,3.04415
20.7888,-367.015,-1584.34,3.06851,-1.40657,3.04348
20.2194,-367.044,-1584.55,3.06669,-1.40667,3.04147
19.5807,-366.99,-1584.45,3.06556,-1.40688,3.04037
18.9845,-367.101,-1584.51,3.0653,-1.40653,3.04023
18.3401,-367.167,-1584.43,3.06663,-1.40716,3.04134
17.6238,-367.191,-1584.3,3.06771,-1.40667,3.04271
16.9463,-367.347,-1584.31,3.06772,-1.40701,3.04248
16.2215,-367.283,-1584.17,3.06801,-1.40619,3.0429
15.4614,-367.278,-1583.96,3.06714,-1.40686,3.04194
14.7887,-367.288,-1583.91,3.06697,-1.40644,3.04187
14.1592,-367.24,-1583.95,3.06633,-1.40681,3.04121
13.4786,-367.237,-1583.91,3.06608,-1.40659,3.04093
12.8283,-367.218,-1583.82,3.06705,-1.40654,3.04207
12.1653,-367.236,-1583.48,3.06656,-1.40667,3.04146
11.4527,-367.238,-1583.31,3.06518,-1.40658,3.04027
10.5952,-367.274,-1583.34,3.06687,-1.4068,3.04177
9.86906,-367.273,-1583.15,3.06947,-1.40656,3.04447
9.34451,-367.297,-1583.01,3.07121,-1.40659,3.04608
8.67425,-367.226,-1582.81,3.06985,-1.4064,3.04465
8.18327,-367.209,-1582.76,3.06772,-1.40657,3.04277
7.62843,-367.172,-1582.91,3.06914,-1.4065,3.04392
7.18077,-367.191,-1582.82,3.06526,-1.40656,3.0401
6.54395,-367.154,-1582.76,3.06617,-1.40658,3.04095
6.16089,-367.147,-1582.66,3.06952,-1.4067,3.04421
5.70371,-367.142,-1582.6,3.0684,-1.40653,3.04316
5.33572,-367.194,-1582.49,3.06466,-1.40666,3.03939
4.89144,-367.181,-1582.4,3.06647,-1.40677,3.04118
4.50712,-367.233,-1582.43,3.06651,-1.40673,3.04114
2.71068,-367.235,-1582.18,3.06697,-1.40682,3.04184
1.3552,-367.371,-1582.45,3.06448,-1.40693,3.03926
0.631688,-367.214,-1581.66,3.06478,-1.40705,3.03956
0.640229,-367.495,-1581.87,3.06604,-1.40698,3.04086
0.562842,-367.534,-1581.94,3.0673,-1.40705,3.04217
0.472039,-367.462,-1581.83,3.06831,-1.40711,3.04307
0.425614,-367.329,-1581.77,3.06697,-1.40685,3.04186
0.383742,-367.298,-1581.72,3.06664,-1.4071,3.04141
0.383651,-367.282,-1581.69,3.06649,-1.40694,3.04139
0.292479,-367.261,-1581.6,3.06713,-1.40695,3.04195
0.305253,-367.232,-1581.54,3.0675,-1.40689,3.04243
0.3256,-367.232,-1581.46,3.06807,-1.40705,3.04288
0.359835,-367.212,-1581.43,3.06797,-1.40698,3.0429
0.369874,-367.292,-1581.56,3.06886,-1.407,3.04373
0.392566,-367.284,-1581.51,3.06852,-1.40694,3.04336
0.342458,-367.244,-1581.47,3.06919,-1.40703,3.04403
0.33957,-367.258,-1581.47,3.06887,-1.40706,3.04374
0.294235,-367.197,-1581.43,3.06961,-1.40704,3.0444
0.263614,-367.291,-1581.76,3.06949,-1.40697,3.04433
0.222103,-367.268,-1581.71,3.06944,-1.4071,3.04428
0.250536,-367.284,-1581.76,3.06787,-1.40695,3.04265
0.237709,-367.254,-1581.72,3.06873,-1.40699,3.04354
0.266242,-367.241,-1581.67,3.06862,-1.40709,3.04342
0.271698,-367.211,-1581.64,3.06922,-1.40698,3.04399
0.302613,-367.236,-1581.69,3.06972,-1.4071,3.04439
0.32686,-367.211,-1581.62,3.06975,-1.4072,3.04436
0.308957,-367.2,-1581.59,3.06887,-1.40713,3.04358
0.319218,-367.165,-1581.52,3.06893,-1.4071,3.04361
0.333654,-367.332,-1581.63,3.06927,-1.40714,3.0439
0.324567,-367.306,-1581.59,3.0695,-1.40714,3.04424
0.329413,-367.284,-1581.71,3.06966,-1.40708,3.04437
0.331464,-367.265,-1581.68,3.0694,-1.40712,3.04408
0.34757,-367.248,-1581.64,3.06936,-1.40714,3.04405
0.272774,-367.364,-1581.68,3.0701,-1.40717,3.04473
0.305756,-367.319,-1581.51,3.07005,-1.40711,3.04473
0.286727,-367.374,-1581.72,3.07011,-1.4071,3.04479
0.331816,-367.481,-1582.11,3.0705,-1.40712,3.04505
0.317233,-367.475,-1582.1,3.06955,-1.40709,3.04419
0.344447,-367.502,-1582.29,3.07013,-1.40707,3.04469
0.32757,-367.5,-1582.3,3.07018,-1.40705,3.04482
0.346199,-367.492,-1582.27,3.06993,-1.40707,3.04453
0.306111,-367.509,-1582.28,3.06997,-1.40711,3.04457
0.283638,-367.474,-1582.25,3.06994,-1.40708,3.04455
0.277715,-367.455,-1582.24,3.07019,-1.40715,3.04469
0.256612,-367.432,-1582.23,3.0704,-1.40709,3.04497
0.325409,-367.504,-1582.39,3.07082,-1.40713,3.04529
0.310437,-367.492,-1582.38,3.07042,-1.40712,3.04493
0.315766,-367.475,-1582.36,3.06993,-1.40717,3.04447
0.323535,-367.561,-1582.59,3.06998,-1.40716,3.04449
0.337419,-367.552,-1582.59,3.07102,-1.40709,3.04553
0.317079,-367.563,-1582.55,3.07083,-1.40725,3.0453
0.31211,-367.564,-1582.54,3.07082,-1.40722,3.04523
0.341921,-367.554,-1582.51,3.07089,-1.40718,3.04535
0.377508,-367.562,-1582.52,3.07103,-1.40716,3.04546
0.387185,-367.549,-1582.49,3.07071,-1.4072,3.04513
0.345612,-367.504,-1582.34,3.07114,-1.40732,3.04554
0.347466,-367.493,-1582.33,3.0707,-1.40724,3.04524
0.361611,-367.518,-1582.28,3.0714,-1.40717,3.04587
0.343549,-367.511,-1582.28,3.07105,-1.40717,3.04544
0.429768,-367.477,-1582.23,3.07159,-1.40725,3.04605
0.311197,-367.475,-1582.41,3.07116,-1.40722,3.04555
0.397028,-367.474,-1582.3,3.07124,-1.40711,3.04569
