x,y,z,A,B,C
347.925,-375.957,-1633.48,1.58458,0.0126488,-1.44714
347.914,-375.968,-1633.46,1.58461,0.0126065,-1.4471
347.932,-375.968,-1633.44,1.58443,0.012632,-1.44717
347.909,-375.906,-1633.28,1.58453,0.0125517,-1.44709
347.913,-375.924,-1633.36,1.58461,0.0124505,-1.44708
347.874,-375.909,-1633.37,1.58462,0.0124143,-1.44717
347.923,-375.921,-1633.33,1.58451,0.0125177,-1.44722
347.892,-375.913,-1633.33,1.58454,0.0124347,-1.44721
347.865,-376.009,-1633.59,1.58464,0.012377,-1.44709
347.878,-376.012,-1633.57,1.58461,0.0123996,-1.44714
347.821,-376.007,-1633.57,1.5846,0.0123398,-1.44714
347.918,-375.996,-1633.35,1.58463,0.0122667,-1.4471
347.927,-375.859,-1633.07,1.58464,0.0123677,-1.44714
347.962,-375.863,-1633.05,1.58468,0.0123412,-1.44711
347.955,-375.854,-1633.05,1.58464,0.0123159,-1.44723
347.961,-375.849,-1633.16,1.58451,0.0124092,-1.44709
348.002,-375.84,-1633.15,1.58466,0.0123528,-1.44709
347.956,-375.824,-1633.15,1.58461,0.0124019,-1.44708
347.883,-375.782,-1633.01,1.5846,0.0124708,-1.44712
347.858,-375.756,-1632.99,1.5846,0.0124946,-1.44714
347.863,-375.801,-1633.34,1.5845,0.0124542,-1.44696
347.863,-375.794,-1633.34,1.58456,0.0124899,-1.44703
347.979,-375.873,-1633.4,1.58454,0.012484,-1.44702
347.954,-375.834,-1633.39,1.58465,0.0124329,-1.44712
347.949,-375.828,-1633.39,1.58466,0.0124326,-1.44713
348.114,-376.056,-1633.99,1.58451,0.0124123,-1.44683
348.056,-376.092,-1634.41,1.5845,0.0124205,-1.44689
348.12,-376.087,-1634.45,1.58448,0.0124408,-1.44682
348.051,-376.038,-1634.49,1.58448,0.0123892,-1.44676
348.196,-376.117,-1634.25,1.58453,0.0123882,-1.44676
348.214,-376.082,-1634.29,1.58455,0.0123175,-1.44679
348.202,-376.047,-1634.33,1.58462,0.012238,-1.44679
348.155,-376.043,-1634.34,1.58447,0.0123752,-1.44671
348.14,-376.115,-1634.62,1.58449,0.0125003,-1.44681
348.12,-376.095,-1634.66,1.5845,0.0125409,-1.44685
348.239,-376.193,-1634.66,1.58442,0.0123863,-1.44672
348.239,-376.193,-1634.66,1.58442,0.0123863,-1.44672
348.124,-376.178,-1634.5,1.58445,0.0122356,-1.44685
348.152,-376.178,-1634.5,1.58453,0.0122203,-1.44695
348.073,-376.166,-1634.52,1.58453,0.0122401,-1.44683
348.157,-376.211,-1634.44,1.58458,0.0121602,-1.44693
348.142,-376.225,-1634.44,1.58451,0.0122416,-1.4469
348.249,-376.319,-1634.39,1.58461,0.0122871,-1.44692
348.24,-376.329,-1634.4,1.58461,0.0122575,-1.44698
348.326,-376.3,-1634.45,1.58456,0.0122558,-1.44683
348.373,-376.31,-1634.44,1.58461,0.0122251,-1.44697
348.31,-376.403,-1634.8,1.58457,0.0121922,-1.44685
348.255,-376.399,-1634.8,1.5846,0.0122237,-1.44689
348.309,-376.285,-1634.62,1.58456,0.0121936,-1.44692
348.252,-376.278,-1634.63,1.5845,0.0122585,-1.44681
348.259,-376.263,-1634.64,1.58455,0.0122359,-1.44677
348.178,-376.29,-1634.54,1.58448,0.0124369,-1.44692
348.136,-376.278,-1634.58,1.58454,0.0124936,-1.44705
348.235,-376.193,-1634.33,1.58463,0.0125481,-1.44709
348.206,-376.181,-1634.34,1.58469,0.0125761,-1.44713
348.184,-376.155,-1634.34,1.58469,0.0125121,-1.44704
348.219,-376.164,-1634.34,1.58461,0.012412,-1.44709
348.181,-376.139,-1634.34,1.58471,0.0125372,-1.44703
348.206,-376.13,-1634.34,1.58471,0.0124293,-1.44705
348.249,-376.221,-1634.49,1.58473,0.0124995,-1.44707
348.303,-376.327,-1634.85,1.58478,0.0125191,-1.44709
348.408,-376.415,-1634.83,1.5848,0.0125923,-1.4471
348.267,-376.549,-1634.84,1.58499,0.0127175,-1.44729
348.264,-376.716,-1634.84,1.58495,0.0118904,-1.44705
348.248,-376.694,-1634.84,1.585,0.0119517,-1.44719
348.303,-376.832,-1635.12,1.5848,0.0124821,-1.44729
348.187,-376.871,-1634.94,1.58483,0.0127565,-1.4474
348.123,-377.098,-1634.91,1.58476,0.0124991,-1.44729
348.084,-377.283,-1634.92,1.58489,0.0117951,-1.44726
348.107,-377.364,-1634.94,1.58488,0.0113574,-1.44704
348.351,-377.457,-1634.99,1.58489,0.0131456,-1.44752
348.397,-377.789,-1635.2,1.58485,0.0130449,-1.44723
348.434,-378.332,-1635.22,1.58496,0.0117724,-1.44711
348.487,-378.891,-1635.25,1.58497,0.0114583,-1.44705
348.44,-379.055,-1635.06,1.58472,0.0126716,-1.44721
348.557,-379.332,-1635.21,1.58494,0.0118674,-1.4472
348.574,-379.728,-1635.19,1.58496,0.011671,-1.44712
348.641,-380.103,-1635.22,1.58493,0.0120104,-1.4473
348.751,-380.504,-1635.35,1.58504,0.0123079,-1.44733
348.572,-380.676,-1634.92,1.585,0.0124851,-1.44727
348.58,-381.049,-1634.88,1.58494,0.0125816,-1.44729
348.528,-381.511,-1634.96,1.58484,0.0126149,-1.44722
