x,y,z,A,B,C
911.737,-72.4627,747.061,3.14064,0.00165051,-3.13855
911.714,-72.474,747.052,3.14067,0.00161139,-3.13851
911.728,-72.5376,747.049,3.14049,0.00161252,-3.13858
911.666,-72.6669,747.113,3.14061,0.00154634,-3.1385
911.66,-72.5632,747.099,3.14069,0.00145696,-3.13849
911.612,-72.5523,747.115,3.14071,0.001425,-3.13858
911.677,-72.6236,747.099,3.14059,0.0015126,-3.13863
911.627,-72.6125,747.109,3.14063,0.00143368,-3.13862
911.629,-72.3218,747.018,3.14074,0.00138944,-3.13851
911.644,-72.3477,747.014,3.1407,0.00140815,-3.13855
911.571,-72.3433,747.021,3.1407,0.00134719,-3.13856
911.617,-72.5677,747.032,3.14074,0.00127869,-3.13852
911.611,-72.8435,747.164,3.14074,0.00138181,-3.13855
911.638,-72.8577,747.161,3.14079,0.00136069,-3.13852
911.622,-72.872,747.17,3.14074,0.00133127,-3.13865
911.664,-72.7978,747.172,3.1406,0.00140191,-3.1385
911.695,-72.7707,747.184,3.14077,0.00136884,-3.1385
911.659,-72.7805,747.198,3.14071,0.00141,-3.1385
911.584,-72.9085,747.237,3.14069,0.00147714,-3.13853
911.562,-72.9262,747.263,3.14068,0.00150129,-3.13855
911.607,-72.6002,747.221,3.14059,0.00144285,-3.13837
911.616,-72.5918,747.227,3.14064,0.00148806,-3.13844
911.737,-72.5548,747.148,3.14063,0.00147915,-3.13844
911.702,-72.5312,747.19,3.14074,0.00144726,-3.13853
911.697,-72.5307,747.196,3.14075,0.00144829,-3.13854
911.94,-71.9852,746.971,3.1406,0.00139922,-3.13825
911.946,-71.5662,746.939,3.14059,0.00140706,-3.1383
912.019,-71.5431,746.943,3.14057,0.00142274,-3.13823
911.946,-71.4833,746.995,3.14058,0.00137078,-3.13818
912.054,-71.7356,746.914,3.14063,0.00137723,-3.13818
912.06,-71.6943,746.95,3.14066,0.0013102,-3.13821
912.037,-71.6318,746.989,3.14074,0.00124225,-3.13821
912.023,-71.6496,746.988,3.14057,0.00135341,-3.13812
912.08,-71.3736,746.916,3.14057,0.00148312,-3.13822
912.076,-71.3326,746.934,3.14058,0.00152601,-3.13826
912.153,-71.3643,746.839,3.14052,0.00135749,-3.13814
912.153,-71.3643,746.839,3.14052,0.00135749,-3.13814
911.977,-71.4944,746.858,3.14058,0.00121681,-3.13827
912.003,-71.4822,746.858,3.14065,0.00121485,-3.13837
911.936,-71.4429,746.872,3.14065,0.00123213,-3.13824
911.988,-71.52,746.828,3.14072,0.00116312,-3.13835
911.99,-71.5398,746.811,3.14063,0.00123185,-3.13831
912.104,-71.5772,746.716,3.14073,0.00129278,-3.13834
912.087,-71.5734,746.707,3.14072,0.00126386,-3.1384
912.179,-71.5453,746.735,3.14067,0.00125134,-3.13825
912.217,-71.5521,746.726,3.14073,0.00123151,-3.13838
912.199,-71.1886,746.637,3.1407,0.00119094,-3.13826
912.154,-71.1766,746.641,3.14072,0.0012271,-3.1383
912.171,-71.3726,746.754,3.14069,0.00119246,-3.13834
912.132,-71.3636,746.759,3.14062,0.00124521,-3.13823
912.136,-71.3463,746.775,3.14068,0.00123012,-3.13819
912.088,-71.4588,746.741,3.14058,0.00142181,-3.13833
912.067,-71.409,746.753,3.14062,0.00148848,-3.13846
912.145,-71.6466,746.835,3.1407,0.00155726,-3.1385
912.128,-71.6181,746.847,3.14076,0.00159412,-3.13854
912.09,-71.6104,746.875,3.14077,0.00152946,-3.13845
912.096,-71.6385,746.867,3.1407,0.00141919,-3.13851
912.095,-71.6063,746.889,3.14078,0.00155648,-3.13844
912.092,-71.6138,746.902,3.1408,0.00145072,-3.13846
912.174,-71.4662,746.81,3.14081,0.00152308,-3.13848
912.286,-71.1078,746.706,3.14086,0.00155075,-3.1385
912.407,-71.1349,746.616,3.14087,0.00162625,-3.13851
912.304,-71.0729,746.481,3.14103,0.00178129,-3.13869
912.096,-71.0375,746.337,3.14112,0.000952974,-3.13848
912.096,-71.0277,746.357,3.14115,0.00102369,-3.13861
912.315,-70.8291,746.206,3.14088,0.00152055,-3.1387
912.242,-71.0004,746.159,3.14087,0.00179975,-3.1388
912.108,-71.0171,745.938,3.14084,0.00153234,-3.1387
911.9,-70.9402,745.773,3.14107,0.000854633,-3.13868
911.818,-70.9059,745.704,3.14113,0.000415535,-3.13848
912.508,-70.9738,745.562,3.14086,0.00219493,-3.13891
912.56,-70.7598,745.234,3.14085,0.0020843,-3.13863
912.285,-70.6695,744.726,3.14115,0.000839584,-3.13854
912.261,-70.629,744.176,3.1412,0.000528696,-3.13848
912.479,-70.9133,743.975,3.14078,0.00169539,-3.13861
912.423,-70.7028,743.723,3.1411,0.000931205,-3.13862
912.389,-70.7041,743.332,3.14116,0.000738749,-3.13855
912.539,-70.7093,742.947,3.14107,0.00107362,-3.13872
912.744,-70.5746,742.54,3.14115,0.00138565,-3.13874
912.547,-70.9877,742.361,3.14107,0.00155273,-3.13868
912.571,-71.0357,741.984,3.14101,0.00164078,-3.1387
912.533,-70.9789,741.521,3.1409,0.0016565,-3.13863
912.457,-70.9638,740.941,3.14102,0.00136754,-3.13857
912.497,-70.9532,740.505,3.14103,0.00133458,-3.13848
912.37,-71.0249,740.14,3.14099,0.00124892,-3.13865
912.505,-71.0138,739.575,3.1408,0.00198406,-3.13861
912.536,-71.0612,738.969,3.14064,0.00194245,-3.13857
912.365,-70.9266,738.312,3.14105,0.00108281,-3.13846
912.329,-70.8092,737.806,3.14099,0.00118928,-3.13868
912.613,-70.8488,737.213,3.1408,0.00200779,-3.13846
912.693,-70.9453,736.671,3.14055,0.00233955,-3.13858
912.534,-70.7932,736.002,3.14087,0.00149958,-3.13827
912.446,-70.7965,735.391,3.14101,0.00124406,-3.1386
912.578,-70.9574,734.945,3.1406,0.00209011,-3.13845
912.608,-70.946,734.274,3.14079,0.00224742,-3.13877
912.421,-70.8841,733.628,3.1407,0.00139528,-3.13816
912.405,-70.9206,733.028,3.14067,0.00126214,-3.1388
912.463,-70.7561,732.365,3.14072,0.00201993,-3.13841
912.181,-70.9398,731.695,3.14087,0.00143169,-3.13853
912.121,-71.023,730.957,3.14047,0.00104228,-3.13785
912.43,-71.1822,730.384,3.14044,0.00156764,-3.13831
912.492,-71.1346,728.836,3.14061,0.0013681,-3.1384
912.126,-71.666,723.051,3.14102,0.000920466,-3.13821
912.444,-71.7751,722.693,3.14061,0.00188642,-3.13871
912.312,-71.7352,721.772,3.14069,0.00142003,-3.13851
912.325,-71.8746,719.026,3.14035,0.00168012,-3.13843
912.354,-71.9807,717.381,3.14025,0.00204026,-3.13855
912.321,-72.0631,710.859,3.14001,0.0018183,-3.1387
912.209,-72.2857,710.452,3.13982,0.00222044,-3.1382
912.021,-72.2498,709.755,3.14006,0.00145875,-3.13872
911.908,-72.1995,709.252,3.14035,0.00121732,-3.13873
912.064,-72.2361,708.612,3.1398,0.00203595,-3.13851
912.123,-72.1095,707.989,3.1401,0.00217386,-3.13823
912.208,-72.2451,707.314,3.13996,0.0023372,-3.13864
912.338,-72.2096,706.535,3.13997,0.00277133,-3.13841
912.2,-72.24,705.906,3.14015,0.00202156,-3.1385
912.124,-72.1889,705.259,3.14019,0.00180037,-3.13835
912.017,-72.2294,704.638,3.14019,0.0015871,-3.13851
912.131,-72.2448,703.996,3.13999,0.00201566,-3.13873
912.236,-72.2926,703.304,3.13972,0.00209374,-3.13838
912.099,-72.2601,702.642,3.13993,0.00152626,-3.13864
912.204,-72.3209,702.031,3.13975,0.00181936,-3.13831
912.238,-72.2206,701.384,3.13955,0.00233222,-3.13869
912.191,-72.1719,700.615,3.13974,0.0021184,-3.13825
912.098,-72.2019,699.98,3.13995,0.00106276,-3.13858
912.33,-72.1471,699.451,3.13998,0.00182007,-3.13833
912.676,-72.3066,698.774,3.13961,0.00278089,-3.13849
912.707,-72.2957,698.128,3.13966,0.00294364,-3.1385
912.495,-72.344,697.425,3.13971,0.00221531,-3.13852
912.46,-72.0232,696.737,3.13997,0.00233377,-3.13883
912.533,-72.0159,696.134,3.13985,0.00253084,-3.13831
912.486,-72.0097,695.523,3.13974,0.00237607,-3.13839
912.625,-72.0495,693.669,3.13976,0.00293609,-3.13888
912.511,-71.8195,693.317,3.13966,0.00226385,-3.13832
912.451,-71.8158,692.676,3.13987,0.00191308,-3.13846
912.556,-71.8523,691.379,3.13976,0.00219196,-3.13846
912.575,-71.6719,687.366,3.13979,0.00243244,-3.13841
912.244,-71.6121,683.427,3.13966,0.0019175,-3.13819
912.258,-71.2643,682.525,3.14005,0.00125504,-3.13823
912.362,-71.2444,681.873,3.14004,0.00157839,-3.13862
912.646,-71.2891,681.171,3.13971,0.00263356,-3.13827
912.609,-71.1858,680.428,3.13986,0.00198317,-3.13868
912.347,-71.0895,679.804,3.13999,0.00107241,-3.13837
912.547,-71.1242,679.186,3.13983,0.001678,-3.13831
912.571,-71.2069,678.596,3.13997,0.00185442,-3.13841
912.516,-71.1986,676.427,3.13985,0.0016999,-3.13846
912.475,-71.1173,675.96,3.14001,0.00162204,-3.13849
912.352,-71.1191,675.275,3.13998,0.00123133,-3.13828
912.226,-71.2743,674.773,3.1401,0.00112392,-3.13852
912.449,-71.2809,674.099,3.14001,0.00204917,-3.13835
912.41,-71.0165,673.179,3.13991,0.00148805,-3.13851
912.228,-70.974,672.788,3.14015,0.00075725,-3.13833
912.305,-71.1306,672.131,3.14013,0.0010189,-3.1386
912.508,-71.1318,671.399,3.13993,0.00181018,-3.13827
912.268,-71.076,670.727,3.14013,0.000990068,-3.13842
912.125,-71.1633,670.155,3.14022,0.000625015,-3.1381
