x,y,z,A,B,C,T,delta_ms
267.407,-345.62,-2446.44,1.59242,0.0275651,-0.544018,1749115554405,7
267.371,-345.636,-2446.38,1.59239,0.0275777,-0.544119,1749115554415,10
267.368,-345.64,-2446.37,1.59232,0.0275983,-0.544098,1749115554423,8
267.361,-345.647,-2446.37,1.59232,0.0276318,-0.544082,1749115554430,7
267.463,-345.69,-2446.63,1.5924,0.0276208,-0.544084,1749115554439,9
267.469,-345.704,-2446.64,1.59243,0.027465,-0.544045,1749115554447,8
267.449,-345.654,-2446.6,1.59238,0.0277059,-0.544107,1749115554456,9
267.453,-345.664,-2446.59,1.59228,0.0276482,-0.544063,1749115554464,8
267.449,-345.671,-2446.59,1.59228,0.0275551,-0.544123,1749115554472,8
267.389,-345.697,-2446.36,1.59236,0.0275609,-0.544102,1749115554481,9
267.382,-345.699,-2446.36,1.59233,0.0275665,-0.544069,1749115554489,8
267.437,-345.689,-2446.43,1.59236,0.0275484,-0.544195,1749115554497,8
267.429,-345.694,-2446.44,1.59226,0.0274645,-0.544107,1749115554505,8
267.452,-345.624,-2446.6,1.59228,0.0273914,-0.544179,1749115554515,10
267.452,-345.619,-2446.61,1.59228,0.0274049,-0.544302,1749115554523,8
267.458,-345.621,-2446.62,1.59225,0.0273148,-0.544223,1749115554530,7
267.46,-345.621,-2446.63,1.59229,0.0272962,-0.54421,1749115554539,9
267.453,-345.572,-2446.31,1.59236,0.0272985,-0.544205,1749115554548,9
267.463,-345.579,-2446.32,1.59236,0.0273399,-0.544265,1749115554555,7
267.471,-345.577,-2446.32,1.59239,0.0272819,-0.54428,1749115554565,10
267.387,-345.535,-2446.12,1.59234,0.027321,-0.544164,1749115554573,8
267.388,-345.525,-2446.12,1.59235,0.0274005,-0.544137,1749115554580,7
267.331,-345.569,-2446.14,1.59237,0.0274074,-0.54411,1749115554589,9
267.329,-345.56,-2446.15,1.59241,0.0273392,-0.544087,1749115554597,8
267.32,-345.559,-2446.15,1.59233,0.0274124,-0.54415,1749115554606,9
267.327,-345.561,-2446.15,1.59238,0.0274281,-0.544112,1749115554614,8
267.39,-345.594,-2446.12,1.59239,0.0274442,-0.544166,1749115554622,8
267.39,-345.596,-2446.13,1.59244,0.0273515,-0.544131,1749115554631,9
267.396,-345.599,-2446.12,1.59245,0.0273755,-0.544128,1749115554639,8
267.394,-345.606,-2446.13,1.59244,0.0273512,-0.544133,1749115554648,9
267.404,-345.642,-2446.41,1.59247,0.0272868,-0.544086,1749115554656,8
267.4,-345.645,-2446.42,1.59243,0.0273014,-0.544087,1749115554665,9
267.402,-345.649,-2446.43,1.59243,0.0273661,-0.544094,1749115554673,8
267.463,-345.703,-2446.73,1.59235,0.0274289,-0.544163,1749115554680,7
267.459,-345.709,-2446.76,1.59243,0.0272952,-0.544067,1749115554690,10
267.46,-345.717,-2446.77,1.59233,0.0273131,-0.544088,1749115554697,7
267.474,-345.66,-2446.51,1.59235,0.0271876,-0.544136,1749115554706,9
267.478,-345.668,-2446.51,1.59236,0.0272113,-0.544111,1749115554714,8
